,task,trial,horizon,uncertainty,slot1_value,slot2_value,choice,RT,reward,forced,participant,is_training
73,10,3,10,3,60,40,1,418.643,30,1,0,False
74,10,4,10,3,60,40,0,1772.311,60,0,0,False
75,10,5,10,3,60,40,0,1324.966,53,0,0,False
76,10,6,10,3,60,40,1,812.323,37,0,0,False
77,10,7,10,3,60,40,0,342.885,64,0,0,False
78,10,8,10,3,60,40,0,421.762,43,0,0,False
79,10,9,10,3,60,40,0,1454.914,68,0,0,False
80,11,0,10,3,60,40,0,809.913,74,1,0,False
81,11,1,10,3,60,40,1,682.572,37,1,0,False
82,11,2,10,3,60,40,1,639.802,43,1,0,False
83,11,3,10,3,60,40,1,413.701,41,1,0,False
84,11,4,10,3,60,40,1,443.052,34,0,0,False
85,11,5,10,3,60,40,0,1019.42,78,0,0,False
86,11,6,10,3,60,40,0,354.7,56,0,0,False
87,11,7,10,3,60,40,0,261.95,63,0,0,False
88,11,8,10,3,60,40,0,343.29,41,0,0,False
89,11,9,10,3,60,40,0,310.61499999999995,62,0,0,False
90,12,0,5,3,48,40,0,703.1030000000001,58,1,0,False
91,12,1,5,3,48,40,1,440.142,30,1,0,False
92,12,2,5,3,48,40,1,766.258,38,1,0,False
93,12,3,5,3,48,40,1,421.288,51,1,0,False
94,12,4,5,3,48,40,0,698.407,53,0,0,False
95,13,0,10,2,60,80,1,587.4300000000001,77,1,0,False
96,13,1,10,2,60,80,1,952.375,77,1,0,False
97,13,2,10,2,60,80,0,609.333,59,1,0,False
98,13,3,10,2,60,80,0,333.578,58,1,0,False
99,13,4,10,2,60,80,0,326.407,67,0,0,False
100,13,5,10,2,60,80,0,446.266,63,0,0,False
101,13,6,10,2,60,80,0,308.029,48,0,0,False
102,13,7,10,2,60,80,0,310.515,71,0,0,False
103,13,8,10,2,60,80,0,452.882,46,0,0,False
104,13,9,10,2,60,80,1,1281.2140000000002,87,0,0,False
105,14,0,5,3,60,90,1,662.942,69,1,0,False
106,14,1,5,3,60,90,0,386.553,63,1,0,False
107,14,2,5,3,60,90,1,2849.766,99,1,0,False
108,14,3,5,3,60,90,1,534.157,99,1,0,False
109,14,4,5,3,60,90,1,509.803,88,0,0,False
110,15,0,5,3,52,60,1,678.581,50,1,0,False
111,15,1,5,3,52,60,0,498.378,42,1,0,False
112,15,2,5,3,52,60,1,701.416,70,1,0,False
113,15,3,5,3,52,60,1,437.829,54,1,0,False
114,15,4,5,3,52,60,1,531.2719999999999,67,0,0,False
115,16,0,5,1,64,60,0,557.964,66,1,0,False
116,16,1,5,1,64,60,0,519.303,61,1,0,False
117,16,2,5,1,64,60,1,431.079,59,1,0,False
118,16,3,5,1,64,60,0,566.307,73,1,0,False
119,16,4,5,1,64,60,0,2028.05,56,0,0,False
120,17,0,10,3,64,60,1,772.32,48,1,0,False
121,17,1,10,3,64,60,1,548.496,51,1,0,False
122,17,2,10,3,64,60,1,355.943,67,1,0,False
123,17,3,10,3,64,60,0,212.953,65,1,0,False
124,17,4,10,3,64,60,0,233.208,75,0,0,False
125,17,5,10,3,64,60,0,190.146,67,0,0,False
126,17,6,10,3,64,60,1,1993.787,56,0,0,False
127,17,7,10,3,64,60,0,319.903,67,0,0,False
128,17,8,10,3,64,60,0,147.571,51,0,0,False
129,17,9,10,3,64,60,0,1484.0800000000002,63,0,0,False
130,18,0,10,3,72,60,1,469.227,75,1,0,False
131,18,1,10,3,72,60,1,1.174,52,1,0,False
132,18,2,10,3,72,60,0,734.332,72,1,0,False
133,18,3,10,3,72,60,1,102.799,52,1,0,False
134,18,4,10,3,72,60,0,86.968,86,0,0,False
135,18,5,10,3,72,60,1,172.475,62,0,0,False
136,18,6,10,3,72,60,1,441.562,63,0,0,False
137,18,7,10,3,72,60,0,287.337,61,0,0,False
138,18,8,10,3,72,60,0,295.245,71,0,0,False
139,18,9,10,3,72,60,1,190.712,60,0,0,False
140,19,0,5,2,40,28,1,581.955,35,1,0,False
141,19,1,5,2,40,28,0,884.542,31,1,0,False
142,19,2,5,2,40,28,1,1.103,18,1,0,False
143,19,3,5,2,40,28,0,129.06500000000003,44,1,0,False
144,19,4,5,2,40,28,1,47.918,39,0,0,False
145,20,0,5,1,60,40,0,379.24,61,1,0,False
146,20,1,5,1,60,40,1,50.415,17,1,0,False
147,20,2,5,1,60,40,0,1.039,59,1,0,False
148,20,3,5,1,60,40,0,109.271,56,1,0,False
149,20,4,5,1,60,40,1,0.949,37,0,0,False
150,21,0,10,2,60,72,1,641.912,56,1,0,False
151,21,1,10,2,60,72,0,1687.675,62,1,0,False
152,21,2,10,2,60,72,0,868.269,54,1,0,False
153,21,3,10,2,60,72,1,521.7429999999999,63,1,0,False
154,21,4,10,2,60,72,1,1921.841,80,0,0,False
155,21,5,10,2,60,72,1,475.613,77,0,0,False
156,21,6,10,2,60,72,0,92.606,56,0,0,False
157,21,7,10,2,60,72,1,158.81400000000002,72,0,0,False
158,21,8,10,2,60,72,1,79.17399999999999,87,0,0,False
159,21,9,10,2,60,72,1,819.2570000000001,74,0,0,False
160,22,0,5,2,48,40,0,1030.936,49,1,0,False
161,22,1,5,2,48,40,0,531.5,52,1,0,False
162,22,2,5,2,48,40,1,1011.832,36,1,0,False
163,22,3,5,2,48,40,1,672.9540000000001,31,1,0,False
164,22,4,5,2,48,40,0,585.97,50,0,0,False
165,23,0,10,2,60,48,0,623.425,72,1,0,False
166,23,1,10,2,60,48,0,606.3380000000001,67,1,0,False
167,23,2,10,2,60,48,1,468.084,51,1,0,False
168,23,3,10,2,60,48,1,591.66,46,1,0,False
169,23,4,10,2,60,48,0,899.4499999999999,54,0,0,False
170,23,5,10,2,60,48,1,357.665,46,0,0,False
171,23,6,10,2,60,48,0,193.919,58,0,0,False
172,23,7,10,2,60,48,1,45.532,54,0,0,False
173,23,8,10,2,60,48,0,290.48400000000004,58,0,0,False
174,23,9,10,2,60,48,0,756.069,60,0,0,False
175,24,0,5,2,60,48,1,995.05,46,1,0,False
176,24,1,5,2,60,48,1,489.707,48,1,0,False
177,24,2,5,2,60,48,0,338.339,65,1,0,False
178,24,3,5,2,60,48,0,386.375,65,1,0,False
179,24,4,5,2,60,48,0,699.09,66,0,0,False
180,25,0,5,2,70,40,0,565.681,54,1,0,False
181,25,1,5,2,70,40,1,438.646,46,1,0,False
182,25,2,5,2,70,40,1,1163.987,32,1,0,False
183,25,3,5,2,70,40,0,537.7429999999999,78,1,0,False
184,25,4,5,2,70,40,0,315.248,61,0,0,False
185,26,0,5,2,70,40,0,567.04,63,1,0,False
186,26,1,5,2,70,40,1,1127.508,16,1,0,False
187,26,2,5,2,70,40,1,1466.279,35,1,0,False
188,26,3,5,2,70,40,0,1668.27,61,1,0,False
189,26,4,5,2,70,40,1,430.547,26,0,0,False
190,27,0,5,1,60,80,0,821.182,48,1,0,False
191,27,1,5,1,60,80,0,32.666000000000004,71,1,0,False
192,27,2,5,1,60,80,1,1021.466,80,1,0,False
193,27,3,5,1,60,80,0,1440.546,67,1,0,False
194,27,4,5,1,60,80,1,174.254,77,0,0,False
195,28,0,10,2,64,60,1,492.661,64,1,0,False
196,28,1,10,2,64,60,0,943.298,63,1,0,False
197,28,2,10,2,64,60,0,1206.8049999999998,70,1,0,False
198,28,3,10,2,64,60,1,894.097,68,1,0,False
199,28,4,10,2,64,60,0,307.325,71,0,0,False
200,28,5,10,2,64,60,1,51.645,57,0,0,False
201,28,6,10,2,64,60,0,128.894,70,0,0,False
202,28,7,10,2,64,60,0,151.905,71,0,0,False
203,28,8,10,2,64,60,0,0.946,70,0,0,False
204,28,9,10,2,64,60,0,1.084,72,0,0,False
205,29,0,10,2,60,52,0,727.1039999999999,60,1,0,False
206,29,1,10,2,60,52,1,495.311,58,1,0,False
207,29,2,10,2,60,52,0,722.077,57,1,0,False
208,29,3,10,2,60,52,1,408.427,52,1,0,False
209,29,4,10,2,60,52,0,2229.624,67,0,0,False
210,29,5,10,2,60,52,0,360.914,79,0,0,False
211,29,6,10,2,60,52,1,1.032,57,0,0,False
212,29,7,10,2,60,52,0,165.072,59,0,0,False
213,29,8,10,2,60,52,0,0.917,56,0,0,False
214,29,9,10,2,60,52,1,106.269,37,0,0,False
215,30,0,5,2,60,52,1,771.398,40,1,0,False
216,30,1,5,2,60,52,1,1377.539,65,1,0,False
217,30,2,5,2,60,52,0,451.324,56,1,0,False
218,30,3,5,2,60,52,0,652.8009999999999,61,1,0,False
219,30,4,5,2,60,52,0,348.478,49,0,0,False
220,31,0,5,1,64,60,0,1042.799,66,1,0,False
221,31,1,5,1,64,60,0,369.833,61,1,0,False
222,31,2,5,1,64,60,1,56.277,59,1,0,False
223,31,3,5,1,64,60,0,346.201,73,1,0,False
224,31,4,5,1,64,60,0,1561.973,73,0,0,False
225,32,0,10,2,68,60,0,789.759,77,1,0,False
226,32,1,10,2,68,60,1,494.915,58,1,0,False
227,32,2,10,2,68,60,0,1121.331,70,1,0,False
228,32,3,10,2,68,60,1,513.885,58,1,0,False
229,32,4,10,2,68,60,0,624.01,66,0,0,False
230,32,5,10,2,68,60,0,487.387,71,0,0,False
231,32,6,10,2,68,60,0,421.181,65,0,0,False
232,32,7,10,2,68,60,0,383.594,63,0,0,False
233,32,8,10,2,68,60,0,700.9689999999999,58,0,0,False
234,32,9,10,2,68,60,0,375.8560000000001,62,0,0,False
235,33,0,5,2,40,52,1,621.2520000000001,47,1,0,False
236,33,1,5,2,40,52,1,1232.163,41,1,0,False
237,33,2,5,2,40,52,0,700.653,40,1,0,False
238,33,3,5,2,40,52,0,551.7090000000001,35,1,0,False
239,33,4,5,2,40,52,1,550.846,58,0,0,False
240,34,0,5,1,40,48,1,500.994,50,1,0,False
241,34,1,5,1,40,48,0,1377.442,45,1,0,False
242,34,2,5,1,40,48,0,2034.538,40,1,0,False
243,34,3,5,1,40,48,0,1727.462,32,1,0,False
244,34,4,5,1,40,48,1,0.989,57,0,0,False
245,35,0,5,3,40,36,1,0.848,24,1,0,False
246,35,1,5,3,40,36,1,167.68099999999998,37,1,0,False
247,35,2,5,3,40,36,0,1021.86,38,1,0,False
248,35,3,5,3,40,36,1,850.851,39,1,0,False
249,35,4,5,3,40,36,0,1520.5800000000002,38,0,0,False
250,36,0,10,2,40,52,1,545.512,50,1,0,False
251,36,1,10,2,40,52,0,1465.572,40,1,0,False
252,36,2,10,2,40,52,1,674.417,50,1,0,False
253,36,3,10,2,40,52,0,382.882,34,1,0,False
254,36,4,10,2,40,52,1,397.257,59,0,0,False
255,36,5,10,2,40,52,1,2250.245,57,0,0,False
256,36,6,10,2,40,52,0,118.749,26,0,0,False
257,36,7,10,2,40,52,1,235.936,46,0,0,False
258,36,8,10,2,40,52,1,61.567,52,0,0,False
259,36,9,10,2,40,52,1,25.021,53,0,0,False
260,37,0,10,2,10,40,0,7187.585999999999,3,1,0,False
261,37,1,10,2,10,40,1,1128.93,36,1,0,False
262,37,2,10,2,10,40,0,843.132,4,1,0,False
263,37,3,10,2,10,40,1,237.25,37,1,0,False
264,37,4,10,2,10,40,1,420.012,26,0,0,False
265,37,5,10,2,10,40,0,299.645,23,0,0,False
266,37,6,10,2,10,40,1,549.384,27,0,0,False
267,37,7,10,2,10,40,1,125.749,40,0,0,False
268,37,8,10,2,10,40,1,181.374,34,0,0,False
269,37,9,10,2,10,40,0,164.06699999999998,4,0,0,False
270,38,0,5,1,40,10,0,768.474,54,1,0,False
271,38,1,5,1,40,10,0,416.298,43,1,0,False
272,38,2,5,1,40,10,1,366.035,26,1,0,False
273,38,3,5,1,40,10,0,932.261,52,1,0,False
274,38,4,5,1,40,10,0,275.771,41,0,0,False
275,39,0,5,2,40,20,1,639.106,15,1,0,False
276,39,1,5,2,40,20,0,386.791,36,1,0,False
277,39,2,5,2,40,20,0,338.3,44,1,0,False
278,39,3,5,2,40,20,1,11.955,20,1,0,False
279,39,4,5,2,40,20,0,144.49,50,0,0,False
280,40,0,5,2,60,30,1,862.64,29,1,0,False
281,40,1,5,2,60,30,0,466.862,47,1,0,False
282,40,2,5,2,60,30,1,950.632,13,1,0,False
283,40,3,5,2,60,30,0,678.5980000000001,77,1,0,False
284,40,4,5,2,60,30,0,456.956,73,0,0,False
285,41,0,10,3,48,60,0,595.744,50,1,0,False
286,41,1,10,3,48,60,1,778.0219999999999,67,1,0,False
287,41,2,10,3,48,60,1,1041.095,67,1,0,False
288,41,3,10,3,48,60,1,2645.648,64,1,0,False
289,41,4,10,3,48,60,0,474.621,59,0,0,False
290,41,5,10,3,48,60,0,476.463,30,0,0,False
291,41,6,10,3,48,60,1,262.923,54,0,0,False
292,41,7,10,3,48,60,1,1.0,66,0,0,False
293,41,8,10,3,48,60,1,1.416,59,0,0,False
294,41,9,10,3,48,60,1,575.2660000000001,55,0,0,False
295,42,0,10,3,60,90,1,517.156,99,1,0,False
296,42,1,10,3,60,90,0,821.063,69,1,0,False
297,42,2,10,3,60,90,1,340.543,92,1,0,False
298,42,3,10,3,60,90,1,1403.274,82,1,0,False
299,42,4,10,3,60,90,1,421.619,99,0,0,False
300,42,5,10,3,60,90,1,235.738,96,0,0,False
301,42,6,10,3,60,90,1,252.249,93,0,0,False
302,42,7,10,3,60,90,1,17.804000000000002,99,0,0,False
303,42,8,10,3,60,90,1,0.857,95,0,0,False
304,42,9,10,3,60,90,1,631.42,83,0,0,False
305,43,0,5,1,20,40,0,1044.762,12,1,0,False
306,43,1,5,1,20,40,1,473.599,40,1,0,False
307,43,2,5,1,20,40,0,3475.413,26,1,0,False
308,43,3,5,1,20,40,0,423.733,10,1,0,False
309,43,4,5,1,20,40,1,475.973,29,0,0,False
310,44,0,5,2,52,60,0,1270.914,46,1,0,False
311,44,1,5,2,52,60,1,1011.202,52,1,0,False
312,44,2,5,2,52,60,1,2001.17,73,1,0,False
313,44,3,5,2,52,60,0,350.288,38,1,0,False
314,44,4,5,2,52,60,1,188.697,66,0,0,False
315,45,0,5,2,60,68,0,4641.045,63,1,0,False
316,45,1,5,2,60,68,1,399.096,79,1,0,False
317,45,2,5,2,60,68,1,541.492,69,1,0,False
318,45,3,5,2,60,68,0,1045.65,65,1,0,False
319,45,4,5,2,60,68,0,430.68,64,0,0,False
320,46,0,5,2,60,72,1,675.356,73,1,0,False
321,46,1,5,2,60,72,0,420.238,60,1,0,False
322,46,2,5,2,60,72,0,754.186,59,1,0,False
323,46,3,5,2,60,72,1,803.197,80,1,0,False
324,46,4,5,2,60,72,1,327.853,63,0,0,False
325,47,0,5,2,40,60,0,1231.692,53,1,0,False
326,47,1,5,2,40,60,0,358.315,37,1,0,False
327,47,2,5,2,40,60,1,543.563,55,1,0,False
328,47,3,5,2,40,60,1,406.282,63,1,0,False
329,47,4,5,2,40,60,1,388.24,59,0,0,False
330,48,0,10,2,72,60,0,11513.683,81,1,0,False
331,48,1,10,2,72,60,1,537.3,76,1,0,False
332,48,2,10,2,72,60,0,626.045,85,1,0,False
333,48,3,10,2,72,60,1,831.7909999999999,54,1,0,False
334,48,4,10,2,72,60,0,437.913,72,0,0,False
335,48,5,10,2,72,60,0,9.326,72,0,0,False
336,48,6,10,2,72,60,0,22.406,84,0,0,False
337,48,7,10,2,72,60,1,90.471,64,0,0,False
338,48,8,10,2,72,60,0,12.228,71,0,0,False
339,48,9,10,2,72,60,0,261.224,74,0,0,False
340,49,0,10,1,40,20,0,520.434,29,1,0,False
341,49,1,10,1,40,20,1,449.444,22,1,0,False
342,49,2,10,1,40,20,0,181.259,47,1,0,False
343,49,3,10,1,40,20,0,732.718,26,1,0,False
344,49,4,10,1,40,20,1,1741.647,30,0,0,False
345,49,5,10,1,40,20,0,381.077,42,0,0,False
346,49,6,10,1,40,20,1,411.393,12,0,0,False
347,49,7,10,1,40,20,0,717.754,34,0,0,False
348,49,8,10,1,40,20,0,237.32,38,0,0,False
349,49,9,10,1,40,20,0,433.508,41,0,0,False
350,50,0,5,3,60,30,1,610.932,34,1,0,False
351,50,1,5,3,60,30,1,1105.3249999999998,31,1,0,False
352,50,2,5,3,60,30,0,690.437,63,1,0,False
353,50,3,5,3,60,30,1,1045.115,32,1,0,False
354,50,4,5,3,60,30,0,359.08,55,0,0,False
355,51,0,5,2,60,30,1,686.845,24,1,0,False
356,51,1,5,2,60,30,1,1163.027,34,1,0,False
357,51,2,5,2,60,30,0,538.363,68,1,0,False
358,51,3,5,2,60,30,0,1856.44,53,1,0,False
359,51,4,5,2,60,30,0,603.053,69,0,0,False
360,52,0,10,1,40,48,0,770.227,48,1,0,False
361,52,1,10,1,40,48,0,514.784,31,1,0,False
362,52,2,10,1,40,48,1,579.5630000000001,50,1,0,False
363,52,3,10,1,40,48,0,1147.718,30,1,0,False
364,52,4,10,1,40,48,1,1034.349,39,0,0,False
365,52,5,10,1,40,48,0,2358.392,34,0,0,False
366,52,6,10,1,40,48,1,315.896,58,0,0,False
367,52,7,10,1,40,48,1,365.781,42,0,0,False
368,52,8,10,1,40,48,0,361.825,45,0,0,False
369,52,9,10,1,40,48,1,399.448,51,0,0,False
370,53,0,10,1,10,40,0,1955.413,38,1,0,False
371,53,1,10,1,10,40,0,793.938,1,1,0,False
372,53,2,10,1,10,40,0,530.653,18,1,0,False
373,53,3,10,1,10,40,1,403.639,44,1,0,False
374,53,4,10,1,10,40,1,441.88,49,0,0,False
375,53,5,10,1,10,40,1,595.737,22,0,0,False
376,53,6,10,1,10,40,1,312.94,30,0,0,False
377,53,7,10,1,10,40,1,344.253,47,0,0,False
378,53,8,10,1,10,40,1,150.449,48,0,0,False
379,53,9,10,1,10,40,1,76.793,39,0,0,False
380,54,0,5,1,60,40,0,717.843,63,1,0,False
381,54,1,5,1,60,40,0,841.475,45,1,0,False
382,54,2,5,1,60,40,1,3988.106,19,1,0,False
383,54,3,5,1,60,40,0,657.597,56,1,0,False
384,54,4,5,1,60,40,0,351.25600000000003,58,0,0,False
385,55,0,10,2,70,40,1,686.856,45,1,0,False
386,55,1,10,2,70,40,0,534.212,85,1,0,False
387,55,2,10,2,70,40,1,1507.063,40,1,0,False
388,55,3,10,2,70,40,0,411.603,70,1,0,False
389,55,4,10,2,70,40,0,351.63,65,0,0,False
390,55,5,10,2,70,40,0,117.467,61,0,0,False
391,55,6,10,2,70,40,0,1.0690000000000002,68,0,0,False
392,55,7,10,2,70,40,0,144.674,70,0,0,False
393,55,8,10,2,70,40,0,5160.97,86,0,0,False
394,55,9,10,2,70,40,0,157.262,67,0,0,False
395,56,0,10,2,40,60,0,1324.336,49,1,0,False
396,56,1,10,2,40,60,1,1822.652,68,1,0,False
397,56,2,10,2,40,60,0,3331.09,46,1,0,False
398,56,3,10,2,40,60,1,4269.208,66,1,0,False
399,56,4,10,2,40,60,0,480.261,33,0,0,False
400,56,5,10,2,40,60,1,1601.071,62,0,0,False
401,56,6,10,2,40,60,1,190.37,61,0,0,False
402,56,7,10,2,40,60,1,108.354,62,0,0,False
403,56,8,10,2,40,60,1,132.322,60,0,0,False
404,56,9,10,2,40,60,1,1259.886,61,0,0,False
405,57,0,5,1,40,28,0,668.693,45,1,0,False
406,57,1,5,1,40,28,0,0.989,38,1,0,False
407,57,2,5,1,40,28,0,87.04299999999999,31,1,0,False
408,57,3,5,1,40,28,1,722.467,30,1,0,False
409,57,4,5,1,40,28,0,652.2470000000001,45,0,0,False
410,58,0,10,2,60,40,0,525.963,65,1,0,False
411,58,1,10,2,60,40,1,454.681,34,1,0,False
412,58,2,10,2,60,40,0,483.304,37,1,0,False
413,58,3,10,2,60,40,1,637.882,14,1,0,False
414,58,4,10,2,60,40,1,131.09699999999998,55,0,0,False
415,58,5,10,2,60,40,0,554.2439999999999,64,0,0,False
416,58,6,10,2,60,40,1,2474.46,40,0,0,False
417,58,7,10,2,60,40,0,1138.855,57,0,0,False
418,58,8,10,2,60,40,0,679.091,64,0,0,False
419,58,9,10,2,60,40,0,239.982,49,0,0,False
420,59,0,10,1,40,32,0,1702.269,69,1,0,False
421,59,1,10,1,40,32,1,638.2,28,1,0,False
422,59,2,10,1,40,32,0,1914.685,43,1,0,False
423,59,3,10,1,40,32,0,414.42,16,1,0,False
424,59,4,10,1,40,32,1,631.452,33,0,0,False
425,59,5,10,1,40,32,0,843.9010000000001,35,0,0,False
426,59,6,10,1,40,32,0,213.977,39,0,0,False
427,59,7,10,1,40,32,1,322.65500000000003,33,0,0,False
428,59,8,10,1,40,32,0,212.023,45,0,0,False
429,59,9,10,1,40,32,0,110.204,35,0,0,False
430,60,0,5,2,48,40,0,1192.281,59,1,0,False
431,60,1,5,2,48,40,0,389.544,45,1,0,False
432,60,2,5,2,48,40,1,531.0939999999999,34,1,0,False
433,60,3,5,2,48,40,1,979.622,44,1,0,False
434,60,4,5,2,48,40,0,1988.099,45,0,0,False
435,61,0,10,1,40,36,0,752.649,25,1,0,False
436,61,1,10,1,40,36,0,530.375,36,1,0,False
437,61,2,10,1,40,36,1,1171.2,31,1,0,False
438,61,3,10,1,40,36,0,1945.954,62,1,0,False
439,61,4,10,1,40,36,0,538.451,24,0,0,False
440,61,5,10,1,40,36,0,527.562,30,0,0,False
441,61,6,10,1,40,36,1,505.34,42,0,0,False
442,61,7,10,1,40,36,0,1465.959,44,0,0,False
443,61,8,10,1,40,36,1,168.15,38,0,0,False
444,61,9,10,1,40,36,0,133.942,57,0,0,False
445,62,0,5,2,32,40,0,815.567,35,1,0,False
446,62,1,5,2,32,40,0,323.473,30,1,0,False
447,62,2,5,2,32,40,1,1678.202,36,1,0,False
448,62,3,5,2,32,40,1,3046.051,34,1,0,False
449,62,4,5,2,32,40,0,474.63,32,0,0,False
450,63,0,10,2,72,60,0,1517.2810000000002,81,1,0,False
451,63,1,10,2,72,60,1,5030.973999999999,76,1,0,False
452,63,2,10,2,72,60,0,1874.199,85,1,0,False
453,63,3,10,2,72,60,1,582.2270000000001,54,1,0,False
454,63,4,10,2,72,60,0,283.583,62,0,0,False
455,63,5,10,2,72,60,1,196.441,52,0,0,False
456,63,6,10,2,72,60,0,90.397,78,0,0,False
457,63,7,10,2,72,60,1,1.03,52,0,0,False
458,63,8,10,2,72,60,1,125.843,59,0,0,False
459,63,9,10,2,72,60,1,566.585,57,0,0,False
460,64,0,10,1,68,60,1,564.662,66,1,0,False
461,64,1,10,1,68,60,0,435.382,63,1,0,False
462,64,2,10,1,68,60,0,400.467,70,1,0,False
463,64,3,10,1,68,60,0,366.84,64,1,0,False
464,64,4,10,1,68,60,0,374.516,62,0,0,False
465,64,5,10,1,68,60,1,491.738,59,0,0,False
466,64,6,10,1,68,60,0,195.67,82,0,0,False
467,64,7,10,1,68,60,0,153.463,68,0,0,False
468,64,8,10,1,68,60,1,1489.044,64,0,0,False
469,64,9,10,1,68,60,0,265.424,64,0,0,False
470,65,0,5,2,40,36,0,827.236,28,1,0,False
471,65,1,5,2,40,36,1,0.943,38,1,0,False
472,65,2,5,2,40,36,1,2459.672,37,1,0,False
473,65,3,5,2,40,36,0,294.248,37,1,0,False
474,65,4,5,2,40,36,0,216.551,43,0,0,False
475,66,0,5,2,70,40,0,1470.4140000000002,54,1,0,False
476,66,1,5,2,70,40,1,631.057,46,1,0,False
477,66,2,5,2,70,40,1,763.148,32,1,0,False
478,66,3,5,2,70,40,0,283.434,78,1,0,False
479,66,4,5,2,70,40,0,317.845,75,0,0,False
480,67,0,5,2,60,48,0,615.383,64,1,0,False
481,67,1,5,2,60,48,0,413.796,61,1,0,False
482,67,2,5,2,60,48,1,987.015,37,1,0,False
483,67,3,5,2,60,48,1,921.69,47,1,0,False
484,67,4,5,2,60,48,0,641.946,48,0,0,False
