,state_left,state_right,choice,resultant_state,trial,reward,participant,task,is_training
50,3,2,3,1,50,5,0,1,True
51,1,0,1,1,51,2,0,1,True
52,0,1,1,1,52,3,0,1,True
53,2,3,3,1,53,4,0,1,True
54,1,0,1,1,54,1,0,1,True
55,0,1,1,1,55,0,0,1,True
56,0,1,0,0,56,5,0,1,True
57,0,1,0,0,57,5,0,1,True
58,1,0,0,0,58,4,0,1,True
59,3,2,2,0,59,2,0,1,True
60,2,3,2,0,60,4,0,1,True
61,2,3,2,0,61,1,0,1,True
62,3,2,2,0,62,0,0,1,True
63,1,0,1,1,63,-4,0,1,True
64,0,1,0,0,64,-4,0,1,True
65,3,2,3,1,65,2,0,1,True
66,0,1,1,1,66,3,0,1,True
67,1,0,1,1,67,3,0,1,True
68,1,0,1,1,68,5,0,1,True
69,3,2,3,1,69,2,0,1,True
70,3,2,3,1,70,2,0,1,True
71,2,3,3,1,71,1,0,1,True
72,0,1,0,0,72,-3,0,1,True
73,1,0,1,1,73,-2,0,1,True
74,3,2,2,0,74,0,0,1,True
75,3,2,2,0,75,0,0,1,True
76,0,1,0,0,76,2,0,1,True
77,3,2,2,0,77,3,0,1,True
78,3,2,2,0,78,5,0,1,True
79,2,3,2,0,79,5,0,1,True
80,3,2,2,0,80,4,0,1,True
81,3,2,2,0,81,5,0,1,True
82,2,3,2,0,82,4,0,1,True
83,1,0,0,0,83,2,0,1,True
84,1,0,0,0,84,-1,0,1,True
85,1,0,1,1,85,-4,0,1,True
86,2,3,2,0,86,-3,0,1,True
87,1,0,1,1,87,2,0,1,True
88,2,3,3,1,88,5,0,1,True
89,1,0,1,1,89,5,0,1,True
90,2,3,3,1,90,1,0,1,True
91,0,1,1,1,91,1,0,1,True
92,1,0,1,1,92,2,0,1,True
93,3,2,3,1,93,1,0,1,True
94,3,2,3,1,94,-3,0,1,True
95,1,0,0,0,95,-4,0,1,True
96,3,2,2,0,96,-3,0,1,True
97,3,2,2,0,97,-3,0,1,True
98,0,1,1,1,98,-2,0,1,True
99,0,1,1,1,99,-1,0,1,True
100,3,2,3,1,100,-3,0,1,True
101,0,1,1,1,101,-2,0,1,True
102,3,2,2,0,102,-2,0,1,True
103,1,0,0,0,103,-2,0,1,True
104,3,2,3,1,104,-2,0,1,True
105,3,2,3,1,105,0,0,1,True
106,3,2,3,1,106,-3,0,1,True
107,1,0,0,0,107,-4,0,1,True
108,0,1,1,1,108,-3,0,1,True
109,0,1,0,0,109,-1,0,1,True
110,2,3,2,0,110,-1,0,1,True
111,1,0,0,0,111,-3,0,1,True
112,3,2,3,1,112,0,0,1,True
113,1,0,1,1,113,1,0,1,True
114,2,3,3,1,114,2,0,1,True
115,3,2,3,1,115,-2,0,1,True
116,0,1,1,1,116,-3,0,1,True
117,3,2,-1,-1,117,0,0,1,True
118,3,2,3,1,118,-3,0,1,True
119,0,1,1,1,119,-2,0,1,True
120,2,3,2,0,120,-2,0,1,True
121,2,3,-1,-1,121,0,0,1,True
122,3,2,-1,-1,122,0,0,1,True
123,1,0,1,1,123,4,0,1,True
124,2,3,3,1,124,2,0,1,True
125,1,0,0,0,0,-1,1,1,True
126,0,1,0,0,1,3,1,1,True
127,1,0,1,1,2,4,1,1,True
128,0,1,0,0,3,4,1,1,True
129,3,2,2,0,4,4,1,1,True
130,2,3,2,0,5,2,1,1,True
131,3,2,3,1,6,-2,1,1,True
132,0,1,1,1,7,1,1,1,True
133,3,2,3,1,8,3,1,1,True
134,0,1,1,1,9,4,1,1,True
135,1,0,1,1,10,5,1,1,True
136,3,2,2,0,11,0,1,1,True
137,2,3,2,0,12,3,1,1,True
138,3,2,2,0,13,0,1,1,True
139,3,2,3,1,14,0,1,1,True
140,3,2,3,1,15,-1,1,1,True
141,3,2,2,0,16,0,1,1,True
142,3,2,2,0,17,3,1,1,True
143,1,0,0,0,18,1,1,1,True
144,2,3,3,1,19,-3,1,1,True
145,2,3,3,1,20,-4,1,1,True
146,1,0,1,1,21,1,1,1,True
147,1,0,1,1,22,1,1,1,True
148,3,2,3,1,23,3,1,1,True
149,2,3,2,0,24,4,1,1,True
150,0,1,0,0,25,4,1,1,True
151,2,3,3,1,26,5,1,1,True
152,3,2,2,0,27,0,1,1,True
153,2,3,3,1,28,2,1,1,True
154,2,3,3,1,29,-1,1,1,True
155,2,3,2,0,30,5,1,1,True
156,3,2,3,1,31,-1,1,1,True
157,0,1,0,0,32,4,1,1,True
158,3,2,3,1,33,-4,1,1,True
159,3,2,2,0,34,0,1,1,True
160,0,1,0,0,35,1,1,1,True
161,3,2,2,0,36,3,1,1,True
162,0,1,1,1,37,-2,1,1,True
163,3,2,3,1,38,1,1,1,True
164,1,0,0,0,39,-1,1,1,True
165,0,1,0,0,40,-2,1,1,True
166,3,2,2,0,41,-1,1,1,True
167,3,2,3,1,42,0,1,1,True
168,1,0,1,1,43,1,1,1,True
169,3,2,3,1,44,4,1,1,True
170,1,0,1,1,45,3,1,1,True
171,1,0,1,1,46,4,1,1,True
172,3,2,3,1,47,4,1,1,True
173,1,0,1,1,48,4,1,1,True
174,0,1,1,1,49,1,1,1,True
175,0,1,1,1,50,2,1,1,True
176,1,0,1,1,51,2,1,1,True
177,2,3,3,1,52,2,1,1,True
178,1,0,-1,-1,53,0,1,1,True
179,3,2,2,0,54,-1,1,1,True
180,2,3,3,1,55,3,1,1,True
181,1,0,0,0,56,-1,1,1,True
182,2,3,3,1,57,2,1,1,True
183,0,1,1,1,58,0,1,1,True
184,2,3,3,1,59,2,1,1,True
185,0,1,0,0,60,-3,1,1,True
186,2,3,3,1,61,-2,1,1,True
187,3,2,3,1,62,-4,1,1,True
188,3,2,3,1,63,-2,1,1,True
189,0,1,1,1,64,-3,1,1,True
190,1,0,1,1,65,-3,1,1,True
191,1,0,0,0,66,-4,1,1,True
192,0,1,0,0,67,-3,1,1,True
193,1,0,0,0,68,0,1,1,True
194,1,0,1,1,69,-4,1,1,True
195,0,1,1,1,70,-3,1,1,True
196,2,3,2,0,71,1,1,1,True
197,3,2,3,1,72,-3,1,1,True
198,1,0,0,0,73,5,1,1,True
199,1,0,0,0,74,4,1,1,True
200,1,0,0,0,75,5,1,1,True
201,3,2,2,0,76,4,1,1,True
202,0,1,1,1,77,-1,1,1,True
203,2,3,2,0,78,4,1,1,True
204,2,3,3,1,79,-3,1,1,True
205,2,3,2,0,80,-2,1,1,True
206,3,2,3,1,81,-4,1,1,True
207,1,0,0,0,82,-2,1,1,True
208,1,0,1,1,83,-2,1,1,True
209,3,2,2,0,84,1,1,1,True
210,3,2,-1,-1,85,0,1,1,True
211,1,0,0,0,86,-1,1,1,True
212,0,1,0,0,87,-1,1,1,True
213,3,2,2,0,88,-3,1,1,True
214,1,0,1,1,89,1,1,1,True
215,2,3,3,1,90,-1,1,1,True
216,1,0,1,1,91,-2,1,1,True
217,3,2,2,0,92,-3,1,1,True
218,2,3,2,0,93,-4,1,1,True
219,2,3,3,1,94,0,1,1,True
220,0,1,1,1,95,3,1,1,True
221,0,1,0,0,96,-3,1,1,True
222,1,0,0,0,97,-3,1,1,True
223,2,3,2,0,98,-1,1,1,True
224,0,1,1,1,99,-3,1,1,True
225,3,2,3,1,100,-2,1,1,True
226,2,3,2,0,101,-1,1,1,True
227,1,0,0,0,102,0,1,1,True
228,0,1,0,0,103,-3,1,1,True
229,0,1,1,1,104,0,1,1,True
230,1,0,0,0,105,-4,1,1,True
231,1,0,1,1,106,-3,1,1,True
232,3,2,2,0,107,0,1,1,True
233,2,3,2,0,108,2,1,1,True
234,0,1,1,1,109,-4,1,1,True
235,3,2,3,1,110,-3,1,1,True
236,0,1,1,1,111,-1,1,1,True
237,0,1,0,0,112,-4,1,1,True
238,1,0,0,0,113,-3,1,1,True
239,1,0,1,1,114,3,1,1,True
240,3,2,3,1,115,3,1,1,True
241,1,0,1,1,116,5,1,1,True
242,3,2,2,0,117,0,1,1,True
243,2,3,2,0,118,-1,1,1,True
244,0,1,1,1,119,5,1,1,True
245,0,1,0,0,120,1,1,1,True
246,0,1,0,0,121,2,1,1,True
247,0,1,1,1,122,3,1,1,True
248,0,1,1,1,123,2,1,1,True
249,1,0,1,1,124,2,1,1,True
250,3,2,2,0,0,-4,2,1,True
251,2,3,3,1,1,1,2,1,True
252,0,1,1,1,2,2,2,1,True
253,2,3,3,1,3,1,2,1,True
254,2,3,3,1,4,-3,2,1,True
255,2,3,2,0,5,1,2,1,True
256,1,0,0,0,6,-2,2,1,True
257,2,3,3,1,7,-1,2,1,True
258,3,2,2,0,8,0,2,1,True
259,2,3,2,0,9,0,2,1,True
260,3,2,2,0,10,1,2,1,True
261,2,3,2,0,11,3,2,1,True
262,1,0,0,0,12,-1,2,1,True
263,0,1,0,0,13,-4,2,1,True
264,1,0,1,1,14,-4,2,1,True
265,1,0,0,0,15,-3,2,1,True
266,0,1,0,0,16,-1,2,1,True
267,2,3,3,1,17,2,2,1,True
268,3,2,3,1,18,3,2,1,True
269,1,0,1,1,19,3,2,1,True
270,3,2,3,1,20,4,2,1,True
271,2,3,3,1,21,4,2,1,True
272,1,0,1,1,22,4,2,1,True
273,2,3,3,1,23,4,2,1,True
274,0,1,1,1,24,3,2,1,True
275,3,2,3,1,25,1,2,1,True
276,0,1,1,1,26,4,2,1,True
277,0,1,1,1,27,3,2,1,True
278,1,0,1,1,28,1,2,1,True
279,1,0,1,1,29,4,2,1,True
280,3,2,3,1,30,4,2,1,True
281,1,0,1,1,31,3,2,1,True
282,0,1,1,1,32,5,2,1,True
283,2,3,3,1,33,4,2,1,True
284,0,1,1,1,34,5,2,1,True
285,1,0,1,1,35,3,2,1,True
286,1,0,1,1,36,5,2,1,True
287,3,2,3,1,37,0,2,1,True
288,3,2,3,1,38,-1,2,1,True
289,1,0,0,0,39,-2,2,1,True
290,0,1,1,1,40,0,2,1,True
291,3,2,3,1,41,-1,2,1,True
292,1,0,0,0,42,1,2,1,True
293,3,2,2,0,43,-2,2,1,True
294,0,1,0,0,44,-2,2,1,True
295,2,3,3,1,45,-3,2,1,True
296,2,3,2,0,46,-1,2,1,True
297,3,2,3,1,47,-1,2,1,True
298,2,3,2,0,48,0,2,1,True
299,0,1,0,0,49,-1,2,1,True
300,1,0,1,1,50,0,2,1,True
301,0,1,1,1,51,-2,2,1,True
302,2,3,3,1,52,-1,2,1,True
303,0,1,1,1,53,-3,2,1,True
304,0,1,0,0,54,-2,2,1,True
305,1,0,0,0,55,-3,2,1,True
306,3,2,3,1,56,2,2,1,True
307,0,1,1,1,57,5,2,1,True
308,2,3,3,1,58,1,2,1,True
309,3,2,3,1,59,3,2,1,True
310,2,3,3,1,60,-1,2,1,True
311,1,0,1,1,61,1,2,1,True
312,2,3,3,1,62,2,2,1,True
313,1,0,1,1,63,-1,2,1,True
314,0,1,1,1,64,-4,2,1,True
315,0,1,1,1,65,-3,2,1,True
316,1,0,0,0,66,2,2,1,True
317,0,1,0,0,67,1,2,1,True
318,1,0,0,0,68,4,2,1,True
319,3,2,2,0,69,2,2,1,True
320,1,0,0,0,70,2,2,1,True
321,3,2,2,0,71,-3,2,1,True
322,1,0,0,0,72,-2,2,1,True
323,2,3,3,1,73,4,2,1,True
324,2,3,3,1,74,5,2,1,True
325,1,0,0,0,75,3,2,1,True
326,3,2,2,0,76,5,2,1,True
327,3,2,2,0,77,4,2,1,True
328,2,3,2,0,78,4,2,1,True
329,3,2,2,0,79,2,2,1,True
330,3,2,2,0,80,3,2,1,True
331,3,2,2,0,81,2,2,1,True
332,0,1,0,0,82,1,2,1,True
333,2,3,2,0,83,0,2,1,True
334,3,2,3,1,84,5,2,1,True
335,3,2,3,1,85,4,2,1,True
336,2,3,2,0,86,0,2,1,True
337,2,3,3,1,87,3,2,1,True
338,2,3,3,1,88,3,2,1,True
339,3,2,3,1,89,2,2,1,True
340,1,0,1,1,90,2,2,1,True
341,0,1,1,1,91,1,2,1,True
342,3,2,3,1,92,-1,2,1,True
343,1,0,1,1,93,-2,2,1,True
344,3,2,2,0,94,-4,2,1,True
345,0,1,1,1,95,-3,2,1,True
346,3,2,3,1,96,-3,2,1,True
347,1,0,1,1,97,-4,2,1,True
348,2,3,3,1,98,-2,2,1,True
349,2,3,2,0,99,4,2,1,True
350,0,1,0,0,100,5,2,1,True
351,2,3,2,0,101,0,2,1,True
352,3,2,2,0,102,-1,2,1,True
353,2,3,2,0,103,-2,2,1,True
354,3,2,2,0,104,0,2,1,True
355,2,3,3,1,105,4,2,1,True
356,0,1,1,1,106,4,2,1,True
357,2,3,3,1,107,2,2,1,True
358,2,3,3,1,108,5,2,1,True
359,2,3,3,1,109,5,2,1,True
360,0,1,1,1,110,5,2,1,True
361,0,1,1,1,111,5,2,1,True
362,0,1,1,1,112,2,2,1,True
363,2,3,3,1,113,3,2,1,True
364,3,2,3,1,114,4,2,1,True
365,2,3,3,1,115,4,2,1,True
366,2,3,3,1,116,1,2,1,True
367,3,2,3,1,117,-1,2,1,True
368,2,3,2,0,118,-2,2,1,True
369,0,1,1,1,119,0,2,1,True
370,1,0,1,1,120,1,2,1,True
371,0,1,1,1,121,-2,2,1,True
372,0,1,1,1,122,1,2,1,True
373,1,0,1,1,123,3,2,1,True
374,0,1,1,1,124,1,2,1,True
375,3,2,2,0,0,-1,3,1,True
376,1,0,1,1,1,0,3,1,True
377,0,1,0,0,2,-4,3,1,True
378,2,3,2,0,3,-2,3,1,True
379,3,2,3,1,4,4,3,1,True
380,1,0,0,0,5,-2,3,1,True
381,3,2,3,1,6,2,3,1,True
382,3,2,3,1,7,2,3,1,True
383,0,1,1,1,8,4,3,1,True
384,2,3,3,1,9,5,3,1,True
385,0,1,1,1,10,2,3,1,True
386,0,1,1,1,11,2,3,1,True
387,0,1,1,1,12,2,3,1,True
388,3,2,3,1,13,1,3,1,True
389,0,1,0,0,14,-3,3,1,True
390,3,2,3,1,15,-2,3,1,True
391,0,1,1,1,16,1,3,1,True
392,3,2,3,1,17,2,3,1,True
393,0,1,0,0,18,2,3,1,True
394,0,1,0,0,19,0,3,1,True
395,0,1,1,1,20,-3,3,1,True
396,2,3,2,0,21,-1,3,1,True
397,0,1,0,0,22,-3,3,1,True
398,0,1,1,1,23,-4,3,1,True
399,3,2,3,1,24,-4,3,1,True
400,0,1,0,0,25,-1,3,1,True
401,1,0,0,0,26,-2,3,1,True
402,3,2,3,1,27,-1,3,1,True
403,3,2,3,1,28,-3,3,1,True
404,3,2,2,0,29,-2,3,1,True
405,2,3,3,1,30,0,3,1,True
406,1,0,1,1,31,0,3,1,True
407,1,0,1,1,32,0,3,1,True
408,2,3,3,1,33,-2,3,1,True
409,3,2,2,0,34,-3,3,1,True
410,3,2,3,1,35,-1,3,1,True
411,0,1,0,0,36,-2,3,1,True
412,3,2,2,0,37,-3,3,1,True
413,3,2,3,1,38,-3,3,1,True
414,2,3,3,1,39,-1,3,1,True
415,3,2,3,1,40,0,3,1,True
416,2,3,3,1,41,2,3,1,True
417,3,2,3,1,42,1,3,1,True
418,1,0,1,1,43,-1,3,1,True
419,1,0,1,1,44,-3,3,1,True
420,3,2,2,0,45,0,3,1,True
421,2,3,2,0,46,-1,3,1,True
422,0,1,1,1,47,-3,3,1,True
423,1,0,0,0,48,1,3,1,True
424,1,0,0,0,49,-2,3,1,True
425,1,0,1,1,50,-1,3,1,True
426,1,0,0,0,51,-1,3,1,True
427,2,3,2,0,52,1,3,1,True
428,1,0,0,0,53,1,3,1,True
429,1,0,0,0,54,0,3,1,True
430,3,2,3,1,55,0,3,1,True
431,2,3,3,1,56,-3,3,1,True
432,2,3,2,0,57,-3,3,1,True
433,2,3,3,1,58,-1,3,1,True
434,2,3,3,1,59,0,3,1,True
435,2,3,2,0,60,1,3,1,True
436,1,0,0,0,61,-3,3,1,True
437,2,3,3,1,62,2,3,1,True
438,0,1,1,1,63,2,3,1,True
439,3,2,2,0,64,-1,3,1,True
440,1,0,1,1,65,2,3,1,True
441,2,3,3,1,66,4,3,1,True
442,0,1,1,1,67,4,3,1,True
443,0,1,1,1,68,0,3,1,True
444,3,2,3,1,69,-1,3,1,True
445,0,1,1,1,70,-2,3,1,True
446,0,1,0,0,71,-2,3,1,True
447,2,3,3,1,72,1,3,1,True
448,1,0,1,1,73,3,3,1,True
449,3,2,3,1,74,1,3,1,True
450,3,2,3,1,75,1,3,1,True
451,2,3,3,1,76,1,3,1,True
452,1,0,1,1,77,-1,3,1,True
453,3,2,2,0,78,3,3,1,True
454,1,0,0,0,79,4,3,1,True
455,0,1,0,0,80,4,3,1,True
456,0,1,0,0,81,4,3,1,True
457,1,0,0,0,82,5,3,1,True
458,2,3,2,0,83,3,3,1,True
459,1,0,0,0,84,3,3,1,True
460,2,3,2,0,85,0,3,1,True
461,0,1,1,1,86,0,3,1,True
462,1,0,1,1,87,2,3,1,True
463,3,2,3,1,88,4,3,1,True
464,1,0,1,1,89,4,3,1,True
465,2,3,3,1,90,2,3,1,True
466,3,2,3,1,91,2,3,1,True
467,0,1,1,1,92,3,3,1,True
468,2,3,3,1,93,3,3,1,True
469,3,2,3,1,94,1,3,1,True
470,1,0,1,1,95,-4,3,1,True
471,1,0,0,0,96,-4,3,1,True
472,1,0,1,1,97,-4,3,1,True
473,2,3,2,0,98,-3,3,1,True
474,3,2,3,1,99,-2,3,1,True
475,3,2,2,0,100,-2,3,1,True
476,1,0,1,1,101,-3,3,1,True
477,3,2,3,1,102,-3,3,1,True
478,3,2,2,0,103,-3,3,1,True
479,3,2,3,1,104,-3,3,1,True
480,0,1,1,1,105,-1,3,1,True
481,3,2,3,1,106,0,3,1,True
482,0,1,1,1,107,1,3,1,True
483,0,1,1,1,108,1,3,1,True
484,3,2,3,1,109,2,3,1,True
485,0,1,1,1,110,1,3,1,True
486,2,3,3,1,111,2,3,1,True
487,1,0,1,1,112,3,3,1,True
488,1,0,1,1,113,5,3,1,True
489,3,2,3,1,114,4,3,1,True
490,1,0,1,1,115,2,3,1,True
491,1,0,1,1,116,3,3,1,True
492,0,1,1,1,117,3,3,1,True
493,3,2,3,1,118,2,3,1,True
494,1,0,1,1,119,0,3,1,True
495,0,1,0,0,120,2,3,1,True
496,0,1,0,0,121,1,3,1,True
497,2,3,2,0,122,1,3,1,True
498,3,2,2,0,123,1,3,1,True
499,3,2,3,1,124,-2,3,1,True
500,3,2,3,1,0,2,4,1,True
501,3,2,3,1,1,2,4,1,True
502,3,2,3,1,2,3,4,1,True
503,3,2,3,1,3,4,4,1,True
504,3,2,3,1,4,5,4,1,True
505,0,1,1,1,5,2,4,1,True
506,0,1,0,0,6,-4,4,1,True
507,3,2,2,0,7,-3,4,1,True
508,1,0,1,1,8,2,4,1,True
509,3,2,3,1,9,2,4,1,True
510,3,2,3,1,10,3,4,1,True
511,0,1,1,1,11,3,4,1,True
512,1,0,1,1,12,4,4,1,True
513,2,3,3,1,13,4,4,1,True
514,2,3,3,1,14,3,4,1,True
515,3,2,3,1,15,2,4,1,True
516,1,0,1,1,16,3,4,1,True
517,3,2,3,1,17,5,4,1,True
518,2,3,3,1,18,4,4,1,True
519,2,3,3,1,19,4,4,1,True
520,1,0,1,1,20,5,4,1,True
521,3,2,3,1,21,3,4,1,True
522,0,1,1,1,22,0,4,1,True
523,2,3,3,1,23,3,4,1,True
524,2,3,3,1,24,2,4,1,True
525,3,2,3,1,25,3,4,1,True
526,0,1,1,1,26,5,4,1,True
527,3,2,3,1,27,4,4,1,True
528,1,0,1,1,28,1,4,1,True
529,0,1,1,1,29,0,4,1,True
530,1,0,1,1,30,0,4,1,True
531,0,1,1,1,31,2,4,1,True
532,0,1,1,1,32,3,4,1,True
533,3,2,3,1,33,3,4,1,True
534,3,2,3,1,34,3,4,1,True
535,3,2,3,1,35,3,4,1,True
536,2,3,3,1,36,2,4,1,True
537,3,2,3,1,37,1,4,1,True
538,1,0,1,1,38,0,4,1,True
539,1,0,0,0,39,3,4,1,True
540,2,3,3,1,40,2,4,1,True
541,3,2,3,1,41,3,4,1,True
542,0,1,0,0,42,1,4,1,True
543,2,3,3,1,43,1,4,1,True
544,3,2,3,1,44,3,4,1,True
545,0,1,1,1,45,4,4,1,True
546,1,0,1,1,46,4,4,1,True
547,2,3,3,1,47,3,4,1,True
548,2,3,2,0,48,1,4,1,True
549,3,2,2,0,49,3,4,1,True
550,1,0,1,1,50,4,4,1,True
551,3,2,3,1,51,3,4,1,True
552,0,1,1,1,52,4,4,1,True
553,2,3,3,1,53,4,4,1,True
554,0,1,0,0,54,0,4,1,True
555,3,2,2,0,55,0,4,1,True
556,0,1,1,1,56,4,4,1,True
557,3,2,2,0,57,1,4,1,True
558,2,3,2,0,58,0,4,1,True
559,1,0,0,0,59,-4,4,1,True
560,2,3,2,0,60,-1,4,1,True
561,2,3,3,1,61,4,4,1,True
562,0,1,1,1,62,3,4,1,True
563,2,3,2,0,63,-2,4,1,True
564,0,1,1,1,64,2,4,1,True
565,0,1,1,1,65,2,4,1,True
566,1,0,0,0,66,1,4,1,True
567,3,2,3,1,67,0,4,1,True
568,1,0,0,0,68,-3,4,1,True
569,3,2,3,1,69,3,4,1,True
570,0,1,0,0,70,2,4,1,True
571,3,2,2,0,71,1,4,1,True
572,3,2,2,0,72,1,4,1,True
573,0,1,1,1,73,3,4,1,True
574,3,2,2,0,74,-3,4,1,True
575,3,2,2,0,75,-1,4,1,True
576,2,3,3,1,76,4,4,1,True
577,2,3,3,1,77,4,4,1,True
578,1,0,0,0,78,4,4,1,True
579,0,1,0,0,79,4,4,1,True
580,3,2,3,1,80,2,4,1,True
581,1,0,0,0,81,5,4,1,True
582,0,1,0,0,82,5,4,1,True
583,0,1,0,0,83,3,4,1,True
584,2,3,3,1,84,-4,4,1,True
585,3,2,2,0,85,3,4,1,True
586,1,0,0,0,86,0,4,1,True
587,0,1,0,0,87,-2,4,1,True
588,3,2,2,0,88,0,4,1,True
589,0,1,0,0,89,2,4,1,True
590,0,1,1,1,90,1,4,1,True
591,1,0,1,1,91,5,4,1,True
592,2,3,3,1,92,3,4,1,True
593,2,3,3,1,93,2,4,1,True
594,3,2,2,0,94,-4,4,1,True
595,1,0,0,0,95,-4,4,1,True
596,0,1,1,1,96,-3,4,1,True
597,3,2,3,1,97,-2,4,1,True
598,1,0,1,1,98,0,4,1,True
599,2,3,2,0,99,-3,4,1,True
600,2,3,3,1,100,3,4,1,True
601,1,0,0,0,101,-3,4,1,True
602,3,2,3,1,102,-2,4,1,True
603,0,1,1,1,103,-3,4,1,True
604,0,1,1,1,104,-3,4,1,True
605,1,0,1,1,105,-3,4,1,True
606,0,1,0,0,106,-3,4,1,True
607,0,1,1,1,107,-1,4,1,True
608,1,0,0,0,108,-2,4,1,True
609,0,1,0,0,109,-1,4,1,True
610,0,1,1,1,110,1,4,1,True
611,2,3,2,0,111,0,4,1,True
612,1,0,0,0,112,-1,4,1,True
613,1,0,0,0,113,2,4,1,True
614,2,3,3,1,114,3,4,1,True
615,0,1,1,1,115,4,4,1,True
616,0,1,1,1,116,4,4,1,True
617,1,0,0,0,117,-2,4,1,True
618,2,3,3,1,118,4,4,1,True
619,0,1,0,0,119,-2,4,1,True
620,0,1,0,0,120,-1,4,1,True
621,2,3,3,1,121,1,4,1,True
622,2,3,3,1,122,0,4,1,True
623,0,1,1,1,123,0,4,1,True
624,0,1,1,1,124,2,4,1,True
625,0,1,-1,-1,0,0,5,1,True
626,3,2,-1,-1,1,0,5,1,True
627,2,3,2,0,2,-2,5,1,True
628,1,0,0,0,3,-2,5,1,True
629,0,1,1,1,4,5,5,1,True
630,2,3,2,0,5,-1,5,1,True
631,1,0,0,0,6,0,5,1,True
632,3,2,2,0,7,0,5,1,True
633,3,2,3,1,8,4,5,1,True
634,3,2,3,1,9,4,5,1,True
635,3,2,3,1,10,4,5,1,True
636,0,1,1,1,11,5,5,1,True
637,3,2,3,1,12,3,5,1,True
638,3,2,3,1,13,1,5,1,True
639,0,1,1,1,14,0,5,1,True
640,1,0,0,0,15,1,5,1,True
641,3,2,2,0,16,-2,5,1,True
642,1,0,0,0,17,0,5,1,True
643,0,1,1,1,18,-1,5,1,True
644,0,1,0,0,19,-1,5,1,True
645,3,2,3,1,20,0,5,1,True
646,2,3,3,1,21,1,5,1,True
647,0,1,1,1,22,2,5,1,True
648,1,0,1,1,23,2,5,1,True
649,1,0,1,1,24,4,5,1,True
650,3,2,3,1,25,1,5,1,True
651,1,0,1,1,26,0,5,1,True
652,2,3,2,0,27,3,5,1,True
653,1,0,1,1,28,2,5,1,True
654,1,0,1,1,29,-1,5,1,True
655,2,3,3,1,30,1,5,1,True
656,3,2,3,1,31,2,5,1,True
657,1,0,1,1,32,-1,5,1,True
658,0,1,0,0,33,-3,5,1,True
659,3,2,3,1,34,4,5,1,True
660,3,2,3,1,35,2,5,1,True
661,1,0,0,0,36,-1,5,1,True
662,1,0,1,1,37,-1,5,1,True
663,3,2,2,0,38,-1,5,1,True
664,0,1,0,0,39,3,5,1,True
665,2,3,3,1,40,-1,5,1,True
666,1,0,0,0,41,3,5,1,True
667,0,1,1,1,42,-3,5,1,True
668,2,3,2,0,43,3,5,1,True
669,1,0,0,0,44,4,5,1,True
670,0,1,0,0,45,4,5,1,True
671,0,1,0,0,46,4,5,1,True
672,2,3,2,0,47,4,5,1,True
673,2,3,2,0,48,5,5,1,True
674,2,3,2,0,49,3,5,1,True
675,3,2,2,0,50,-1,5,1,True
676,0,1,1,1,51,4,5,1,True
677,1,0,1,1,52,5,5,1,True
678,3,2,3,1,53,5,5,1,True
679,0,1,1,1,54,5,5,1,True
680,3,2,2,0,55,-2,5,1,True
681,3,2,3,1,56,-1,5,1,True
682,2,3,3,1,57,3,5,1,True
683,3,2,3,1,58,4,5,1,True
