,Unnamed: 0,participant,task,trial,choice,reward,RT,mu0,mu1,is_training
164,164,0,16,4,0,16,344,15,2,True
165,165,0,16,5,0,16,335,15,2,True
166,166,0,16,6,0,14,352,15,2,True
167,167,0,16,7,0,15,383,15,2,True
168,168,0,16,8,0,15,343,15,2,True
169,169,0,16,9,0,14,327,15,2,True
170,170,0,17,0,1,-3,491,-6,-4,True
171,171,0,17,1,0,-5,512,-6,-4,True
172,172,0,17,2,0,-6,399,-6,-4,True
173,173,0,17,3,1,-6,327,-6,-4,True
174,174,0,17,4,0,-7,406,-6,-4,True
175,175,0,17,5,1,-2,328,-6,-4,True
176,176,0,17,6,0,-6,343,-6,-4,True
177,177,0,17,7,1,-4,344,-6,-4,True
178,178,0,17,8,0,-6,377,-6,-4,True
179,179,0,17,9,1,-2,327,-6,-4,True
180,180,0,18,0,1,18,484,2,18,True
181,181,0,18,1,0,1,359,2,18,True
182,182,0,18,2,1,18,343,2,18,True
183,183,0,18,3,1,18,311,2,18,True
184,184,0,18,4,1,17,343,2,18,True
185,185,0,18,5,1,18,351,2,18,True
186,186,0,18,6,1,18,359,2,18,True
187,187,0,18,7,1,18,351,2,18,True
188,188,0,18,8,1,18,367,2,18,True
189,189,0,18,9,1,19,360,2,18,True
190,190,0,19,0,1,4,553,3,3,True
191,191,0,19,1,0,1,487,3,3,True
192,192,0,19,2,1,3,375,3,3,True
193,193,0,19,3,1,3,343,3,3,True
194,194,0,19,4,1,5,350,3,3,True
195,195,0,19,5,1,4,327,3,3,True
196,196,0,19,6,1,2,335,3,3,True
197,197,0,19,7,1,4,439,3,3,True
198,198,0,19,8,1,3,375,3,3,True
199,199,0,19,9,1,4,357,3,3,True
200,200,1,0,0,0,-3,1309,-2,-7,True
201,201,1,0,1,1,-8,698,-2,-7,True
202,202,1,0,2,0,-3,606,-2,-7,True
203,203,1,0,3,1,-7,507,-2,-7,True
204,204,1,0,4,0,-2,492,-2,-7,True
205,205,1,0,5,0,-2,469,-2,-7,True
206,206,1,0,6,0,-1,375,-2,-7,True
207,207,1,0,7,0,-3,358,-2,-7,True
208,208,1,0,8,1,-7,367,-2,-7,True
209,209,1,0,9,0,-2,329,-2,-7,True
210,210,1,1,0,1,8,901,8,8,True
211,211,1,1,1,0,7,520,8,8,True
212,212,1,1,2,1,9,390,8,8,True
213,213,1,1,3,1,8,496,8,8,True
214,214,1,1,4,1,6,383,8,8,True
215,215,1,1,5,1,8,369,8,8,True
216,216,1,1,6,1,9,383,8,8,True
217,217,1,1,7,1,7,376,8,8,True
218,218,1,1,8,1,9,557,8,8,True
219,219,1,1,9,1,8,366,8,8,True
220,220,1,2,0,1,-5,1284,11,-5,True
221,221,1,2,1,0,11,438,11,-5,True
222,222,1,2,2,0,11,445,11,-5,True
223,223,1,2,3,0,11,535,11,-5,True
224,224,1,2,4,0,11,689,11,-5,True
225,225,1,2,5,0,11,566,11,-5,True
226,226,1,2,6,0,13,538,11,-5,True
227,227,1,2,7,0,13,543,11,-5,True
228,228,1,2,8,0,10,509,11,-5,True
229,229,1,2,9,0,11,600,11,-5,True
230,230,1,3,0,1,6,1517,-5,6,True
231,231,1,3,1,0,-5,539,-5,6,True
232,232,1,3,2,1,8,412,-5,6,True
233,233,1,3,3,1,6,514,-5,6,True
234,234,1,3,4,1,6,466,-5,6,True
235,235,1,3,5,1,6,448,-5,6,True
236,236,1,3,6,1,7,430,-5,6,True
237,237,1,3,7,1,6,454,-5,6,True
238,238,1,3,8,1,5,412,-5,6,True
239,239,1,3,9,1,4,412,-5,6,True
240,240,1,4,0,1,15,850,-3,16,True
241,241,1,4,1,0,-2,505,-3,16,True
242,242,1,4,2,1,15,349,-3,16,True
243,243,1,4,3,1,15,399,-3,16,True
244,244,1,4,4,1,16,342,-3,16,True
245,245,1,4,5,1,17,335,-3,16,True
246,246,1,4,6,1,17,484,-3,16,True
247,247,1,4,7,1,17,595,-3,16,True
248,248,1,4,8,1,16,818,-3,16,True
249,249,1,4,9,1,16,1322,-3,16,True
250,250,1,5,0,1,6,2294,-15,6,True
251,251,1,5,1,0,-15,504,-15,6,True
252,252,1,5,2,1,6,343,-15,6,True
253,253,1,5,3,1,8,313,-15,6,True
254,254,1,5,4,1,6,340,-15,6,True
255,255,1,5,5,1,6,404,-15,6,True
256,256,1,5,6,1,5,353,-15,6,True
257,257,1,5,7,1,7,350,-15,6,True
258,258,1,5,8,1,6,377,-15,6,True
259,259,1,5,9,1,7,349,-15,6,True
260,260,1,6,0,1,7,625,-1,8,True
261,261,1,6,1,0,-2,715,-1,8,True
262,262,1,6,2,1,8,415,-1,8,True
263,263,1,6,3,1,8,336,-1,8,True
264,264,1,6,4,1,9,319,-1,8,True
265,265,1,6,5,1,8,304,-1,8,True
266,266,1,6,6,1,7,451,-1,8,True
267,267,1,6,7,1,10,341,-1,8,True
268,268,1,6,8,1,8,364,-1,8,True
269,269,1,6,9,1,9,404,-1,8,True
270,270,1,7,0,1,-14,1108,5,-14,True
271,271,1,7,1,0,4,382,5,-14,True
272,272,1,7,2,0,4,350,5,-14,True
273,273,1,7,3,0,4,304,5,-14,True
274,274,1,7,4,0,5,365,5,-14,True
275,275,1,7,5,0,5,405,5,-14,True
276,276,1,7,6,0,4,439,5,-14,True
277,277,1,7,7,0,7,647,5,-14,True
278,278,1,7,8,0,6,1016,5,-14,True
279,279,1,7,9,0,5,498,5,-14,True
280,280,1,8,0,0,14,562,15,0,True
281,281,1,8,1,0,13,391,15,0,True
282,282,1,8,2,0,14,488,15,0,True
283,283,1,8,3,0,14,306,15,0,True
284,284,1,8,4,0,15,359,15,0,True
285,285,1,8,5,0,17,567,15,0,True
286,286,1,8,6,0,16,491,15,0,True
287,287,1,8,7,0,14,388,15,0,True
288,288,1,8,8,0,16,427,15,0,True
289,289,1,8,9,0,16,799,15,0,True
290,290,1,9,0,1,6,1019,12,6,True
291,291,1,9,1,0,14,356,12,6,True
292,292,1,9,2,0,13,356,12,6,True
293,293,1,9,3,0,10,429,12,6,True
294,294,1,9,4,0,12,332,12,6,True
295,295,1,9,5,0,12,312,12,6,True
296,296,1,9,6,0,13,338,12,6,True
297,297,1,9,7,0,13,398,12,6,True
298,298,1,9,8,0,11,412,12,6,True
299,299,1,9,9,0,13,426,12,6,True
300,300,1,10,0,0,6,624,6,5,True
301,301,1,10,1,1,4,351,6,5,True
302,302,1,10,2,0,6,413,6,5,True
303,303,1,10,3,1,5,349,6,5,True
304,304,1,10,4,1,6,374,6,5,True
305,305,1,10,5,1,5,335,6,5,True
306,306,1,10,6,0,5,333,6,5,True
307,307,1,10,7,0,7,423,6,5,True
308,308,1,10,8,0,6,358,6,5,True
309,309,1,10,9,0,6,350,6,5,True
310,310,1,11,0,0,-7,852,-7,-4,True
311,311,1,11,1,1,-3,382,-7,-4,True
312,312,1,11,2,1,-3,367,-7,-4,True
313,313,1,11,3,0,-6,438,-7,-4,True
314,314,1,11,4,1,-4,377,-7,-4,True
315,315,1,11,5,1,-6,399,-7,-4,True
316,316,1,11,6,0,-5,398,-7,-4,True
317,317,1,11,7,1,-3,344,-7,-4,True
318,318,1,11,8,1,-4,374,-7,-4,True
319,319,1,11,9,1,-4,405,-7,-4,True
320,320,1,12,0,1,0,586,12,2,True
321,321,1,12,1,0,13,434,12,2,True
322,322,1,12,2,0,13,423,12,2,True
323,323,1,12,3,0,11,382,12,2,True
324,324,1,12,4,0,12,353,12,2,True
325,325,1,12,5,0,12,383,12,2,True
326,326,1,12,6,0,11,390,12,2,True
327,327,1,12,7,0,11,517,12,2,True
328,328,1,12,8,0,11,539,12,2,True
329,329,1,12,9,0,14,362,12,2,True
330,330,1,13,0,0,7,6542,6,2,True
331,331,1,13,1,1,3,358,6,2,True
332,332,1,13,2,0,5,280,6,2,True
333,333,1,13,3,1,3,326,6,2,True
334,334,1,13,4,0,6,337,6,2,True
335,335,1,13,5,0,7,361,6,2,True
336,336,1,13,6,0,4,836,6,2,True
337,337,1,13,7,0,4,392,6,2,True
338,338,1,13,8,0,8,2157,6,2,True
339,339,1,13,9,0,5,387,6,2,True
340,340,1,14,0,1,-10,1880,6,-9,True
341,341,1,14,1,0,5,396,6,-9,True
342,342,1,14,2,0,7,319,6,-9,True
343,343,1,14,3,0,6,388,6,-9,True
344,344,1,14,4,0,4,326,6,-9,True
345,345,1,14,5,0,7,325,6,-9,True
346,346,1,14,6,0,6,367,6,-9,True
347,347,1,14,7,0,6,383,6,-9,True
348,348,1,14,8,0,7,366,6,-9,True
349,349,1,14,9,0,6,406,6,-9,True
350,350,1,15,0,0,5,704,5,-3,True
351,351,1,15,1,1,-4,364,5,-3,True
352,352,1,15,2,0,7,1951,5,-3,True
353,353,1,15,3,0,6,367,5,-3,True
354,354,1,15,4,0,6,352,5,-3,True
355,355,1,15,5,0,5,336,5,-3,True
356,356,1,15,6,0,8,374,5,-3,True
357,357,1,15,7,0,4,413,5,-3,True
358,358,1,15,8,0,5,318,5,-3,True
359,359,1,15,9,0,7,356,5,-3,True
360,360,1,16,0,1,10,962,-2,11,True
361,361,1,16,1,0,-3,459,-2,11,True
362,362,1,16,2,1,10,320,-2,11,True
363,363,1,16,3,1,11,270,-2,11,True
364,364,1,16,4,1,12,326,-2,11,True
365,365,1,16,5,1,10,287,-2,11,True
366,366,1,16,6,1,10,340,-2,11,True
367,367,1,16,7,1,11,350,-2,11,True
368,368,1,16,8,1,9,282,-2,11,True
369,369,1,16,9,1,11,358,-2,11,True
370,370,1,17,0,1,-9,671,-1,-9,True
371,371,1,17,1,0,-2,374,-1,-9,True
372,372,1,17,2,0,0,397,-1,-9,True
373,373,1,17,3,0,-2,335,-1,-9,True
374,374,1,17,4,0,-2,376,-1,-9,True
375,375,1,17,5,0,0,348,-1,-9,True
376,376,1,17,6,0,-1,349,-1,-9,True
377,377,1,17,7,1,-8,385,-1,-9,True
378,378,1,17,8,0,-1,356,-1,-9,True
379,379,1,17,9,0,1,374,-1,-9,True
380,380,1,18,0,0,19,2858,18,-6,True
381,381,1,18,1,0,19,366,18,-6,True
382,382,1,18,2,0,18,337,18,-6,True
383,383,1,18,3,0,15,323,18,-6,True
384,384,1,18,4,0,17,416,18,-6,True
385,385,1,18,5,0,18,380,18,-6,True
386,386,1,18,6,0,17,385,18,-6,True
387,387,1,18,7,0,18,384,18,-6,True
388,388,1,18,8,0,18,352,18,-6,True
389,389,1,18,9,0,19,382,18,-6,True
390,390,1,19,0,0,16,658,15,-3,True
391,391,1,19,1,0,15,516,15,-3,True
392,392,1,19,2,0,15,312,15,-3,True
393,393,1,19,3,0,15,318,15,-3,True
394,394,1,19,4,0,15,328,15,-3,True
395,395,1,19,5,0,15,329,15,-3,True
396,396,1,19,6,0,14,327,15,-3,True
397,397,1,19,7,0,17,343,15,-3,True
398,398,1,19,8,0,16,351,15,-3,True
399,399,1,19,9,0,15,337,15,-3,True
400,400,2,0,0,0,9,1559,10,9,True
401,401,2,0,1,1,10,816,10,9,True
402,402,2,0,2,1,9,861,10,9,True
403,403,2,0,3,0,9,578,10,9,True
404,404,2,0,4,1,10,473,10,9,True
405,405,2,0,5,1,9,444,10,9,True
406,406,2,0,6,0,8,438,10,9,True
407,407,2,0,7,1,10,357,10,9,True
408,408,2,0,8,0,9,383,10,9,True
409,409,2,0,9,1,10,387,10,9,True
410,410,2,1,0,0,-5,861,-4,6,True
411,411,2,1,1,1,4,372,-4,6,True
412,412,2,1,2,0,-5,516,-4,6,True
413,413,2,1,3,1,8,323,-4,6,True
414,414,2,1,4,1,5,336,-4,6,True
415,415,2,1,5,0,-6,333,-4,6,True
416,416,2,1,6,1,8,313,-4,6,True
417,417,2,1,7,1,4,333,-4,6,True
418,418,2,1,8,1,6,341,-4,6,True
419,419,2,1,9,1,5,316,-4,6,True
420,420,2,2,0,1,-2,468,4,-1,True
421,421,2,2,1,0,4,343,4,-1,True
422,422,2,2,2,0,5,259,4,-1,True
423,423,2,2,3,0,3,292,4,-1,True
424,424,2,2,4,0,3,322,4,-1,True
425,425,2,2,5,0,3,318,4,-1,True
426,426,2,2,6,0,5,336,4,-1,True
427,427,2,2,7,0,4,363,4,-1,True
428,428,2,2,8,0,5,415,4,-1,True
429,429,2,2,9,0,4,355,4,-1,True
430,430,2,3,0,0,-13,422,-13,8,True
431,431,2,3,1,1,8,384,-13,8,True
432,432,2,3,2,1,8,464,-13,8,True
433,433,2,3,3,1,8,254,-13,8,True
434,434,2,3,4,1,7,209,-13,8,True
435,435,2,3,5,1,8,229,-13,8,True
436,436,2,3,6,1,9,226,-13,8,True
437,437,2,3,7,1,7,283,-13,8,True
438,438,2,3,8,1,6,235,-13,8,True
439,439,2,3,9,1,9,418,-13,8,True
440,440,2,4,0,0,-2,370,-2,6,True
441,441,2,4,1,1,4,258,-2,6,True
442,442,2,4,2,1,7,233,-2,6,True
443,443,2,4,3,1,6,241,-2,6,True
444,444,2,4,4,1,7,239,-2,6,True
445,445,2,4,5,1,7,277,-2,6,True
446,446,2,4,6,1,7,379,-2,6,True
447,447,2,4,7,1,6,294,-2,6,True
448,448,2,4,8,1,6,257,-2,6,True
449,449,2,4,9,1,5,316,-2,6,True
450,450,2,5,0,1,-1,351,-2,-2,True
451,451,2,5,1,0,-2,265,-2,-2,True
452,452,2,5,2,1,-3,260,-2,-2,True
453,453,2,5,3,0,0,388,-2,-2,True
454,454,2,5,4,0,-2,283,-2,-2,True
455,455,2,5,5,1,-5,316,-2,-2,True
456,456,2,5,6,0,-4,297,-2,-2,True
457,457,2,5,7,1,-3,319,-2,-2,True
458,458,2,5,8,0,-1,321,-2,-2,True
459,459,2,5,9,1,-1,358,-2,-2,True
460,460,2,6,0,0,0,351,1,8,True
461,461,2,6,1,1,9,263,1,8,True
462,462,2,6,2,1,8,312,1,8,True
463,463,2,6,3,1,7,334,1,8,True
464,464,2,6,4,1,8,250,1,8,True
465,465,2,6,5,1,9,255,1,8,True
466,466,2,6,6,1,6,277,1,8,True
467,467,2,6,7,1,9,226,1,8,True
468,468,2,6,8,1,9,244,1,8,True
469,469,2,6,9,1,7,277,1,8,True
470,470,2,7,0,1,-6,556,-2,-7,True
471,471,2,7,1,0,-2,287,-2,-7,True
472,472,2,7,2,0,-4,299,-2,-7,True
473,473,2,7,3,1,-6,290,-2,-7,True
474,474,2,7,4,0,-1,285,-2,-7,True
475,475,2,7,5,1,-6,291,-2,-7,True
476,476,2,7,6,0,-3,274,-2,-7,True
477,477,2,7,7,0,-2,269,-2,-7,True
478,478,2,7,8,0,-3,235,-2,-7,True
479,479,2,7,9,0,-2,275,-2,-7,True
480,480,2,8,0,1,3,589,-6,2,True
481,481,2,8,1,0,-6,300,-6,2,True
482,482,2,8,2,1,3,266,-6,2,True
483,483,2,8,3,1,1,225,-6,2,True
484,484,2,8,4,1,2,223,-6,2,True
485,485,2,8,5,1,2,226,-6,2,True
486,486,2,8,6,1,3,230,-6,2,True
487,487,2,8,7,1,4,218,-6,2,True
488,488,2,8,8,1,3,266,-6,2,True
489,489,2,8,9,1,3,266,-6,2,True
490,490,2,9,0,0,7,408,6,-1,True
491,491,2,9,1,1,0,263,6,-1,True
492,492,2,9,2,0,7,285,6,-1,True
493,493,2,9,3,0,6,222,6,-1,True
494,494,2,9,4,0,6,250,6,-1,True
495,495,2,9,5,0,7,318,6,-1,True
496,496,2,9,6,0,5,299,6,-1,True
497,497,2,9,7,0,8,251,6,-1,True
498,498,2,9,8,0,5,262,6,-1,True
499,499,2,9,9,0,5,292,6,-1,True
500,500,2,10,0,1,6,398,-4,5,True
501,501,2,10,1,0,-4,282,-4,5,True
502,502,2,10,2,1,5,290,-4,5,True
503,503,2,10,3,1,4,207,-4,5,True
504,504,2,10,4,1,5,223,-4,5,True
505,505,2,10,5,1,5,224,-4,5,True
506,506,2,10,6,1,6,204,-4,5,True
507,507,2,10,7,1,5,272,-4,5,True
508,508,2,10,8,1,7,209,-4,5,True
509,509,2,10,9,1,5,240,-4,5,True
510,510,2,11,0,1,-8,387,2,-10,True
511,511,2,11,1,0,2,266,2,-10,True
512,512,2,11,2,0,1,245,2,-10,True
513,513,2,11,3,0,2,251,2,-10,True
514,514,2,11,4,0,1,262,2,-10,True
515,515,2,11,5,0,4,228,2,-10,True
516,516,2,11,6,0,2,274,2,-10,True
517,517,2,11,7,0,-1,288,2,-10,True
518,518,2,11,8,0,4,300,2,-10,True
519,519,2,11,9,0,1,568,2,-10,True
520,520,2,12,0,0,-1,463,0,7,True
521,521,2,12,1,1,7,261,0,7,True
522,522,2,12,2,1,9,250,0,7,True
523,523,2,12,3,1,8,223,0,7,True
524,524,2,12,4,1,7,226,0,7,True
525,525,2,12,5,1,6,229,0,7,True
526,526,2,12,6,1,7,271,0,7,True
527,527,2,12,7,1,7,284,0,7,True
528,528,2,12,8,1,6,247,0,7,True
529,529,2,12,9,1,8,250,0,7,True
530,530,2,13,0,1,1,507,3,0,True
531,531,2,13,1,0,3,279,3,0,True
532,532,2,13,2,0,4,243,3,0,True
533,533,2,13,3,0,3,201,3,0,True
534,534,2,13,4,0,4,268,3,0,True
535,535,2,13,5,0,3,237,3,0,True
536,536,2,13,6,0,3,236,3,0,True
537,537,2,13,7,0,3,242,3,0,True
538,538,2,13,8,0,4,251,3,0,True
539,539,2,13,9,0,4,248,3,0,True
540,540,2,14,0,1,3,365,5,3,True
541,541,2,14,1,0,6,253,5,3,True
542,542,2,14,2,0,6,306,5,3,True
543,543,2,14,3,0,6,248,5,3,True
544,544,2,14,4,0,4,225,5,3,True
545,545,2,14,5,0,4,258,5,3,True
546,546,2,14,6,0,6,237,5,3,True
547,547,2,14,7,0,5,266,5,3,True
548,548,2,14,8,0,7,273,5,3,True
549,549,2,14,9,0,4,360,5,3,True
550,550,2,15,0,1,5,615,4,4,True
551,551,2,15,1,0,3,237,4,4,True
552,552,2,15,2,1,5,281,4,4,True
553,553,2,15,3,1,3,203,4,4,True
554,554,2,15,4,1,4,239,4,4,True
555,555,2,15,5,1,5,216,4,4,True
556,556,2,15,6,1,3,246,4,4,True
557,557,2,15,7,1,3,266,4,4,True
558,558,2,15,8,1,4,245,4,4,True
559,559,2,15,9,1,5,275,4,4,True
560,560,2,16,0,1,-4,417,6,-3,True
561,561,2,16,1,0,5,255,6,-3,True
562,562,2,16,2,0,6,264,6,-3,True
563,563,2,16,3,0,6,245,6,-3,True
564,564,2,16,4,0,7,255,6,-3,True
565,565,2,16,5,0,5,275,6,-3,True
566,566,2,16,6,0,5,264,6,-3,True
567,567,2,16,7,0,7,287,6,-3,True
568,568,2,16,8,0,5,261,6,-3,True
569,569,2,16,9,0,5,241,6,-3,True
570,570,2,17,0,0,-9,384,-8,-3,True
571,571,2,17,1,1,0,233,-8,-3,True
572,572,2,17,2,1,-2,225,-8,-3,True
573,573,2,17,3,1,-4,214,-8,-3,True
574,574,2,17,4,1,-4,190,-8,-3,True
575,575,2,17,5,0,-8,256,-8,-3,True
576,576,2,17,6,1,-5,234,-8,-3,True
577,577,2,17,7,1,-5,209,-8,-3,True
578,578,2,17,8,1,-3,220,-8,-3,True
579,579,2,17,9,1,-5,244,-8,-3,True
580,580,2,18,0,1,-3,573,4,-4,True
581,581,2,18,1,0,4,231,4,-4,True
582,582,2,18,2,0,5,238,4,-4,True
583,583,2,18,3,0,4,255,4,-4,True
584,584,2,18,4,0,6,267,4,-4,True
585,585,2,18,5,0,4,235,4,-4,True
586,586,2,18,6,0,2,226,4,-4,True
587,587,2,18,7,0,3,261,4,-4,True
588,588,2,18,8,0,3,256,4,-4,True
589,589,2,18,9,0,5,260,4,-4,True
590,590,2,19,0,1,-6,380,5,-6,True
591,591,2,19,1,0,5,254,5,-6,True
592,592,2,19,2,0,4,230,5,-6,True
593,593,2,19,3,0,4,224,5,-6,True
594,594,2,19,4,0,5,244,5,-6,True
595,595,2,19,5,0,4,233,5,-6,True
596,596,2,19,6,0,6,254,5,-6,True
597,597,2,19,7,0,5,245,5,-6,True
598,598,2,19,8,0,7,252,5,-6,True
