"Subject" "Age" "Handedness" "Sex" "Counterbalance" "afleider" "brugofniet" "opgaveAbstr" "operator.SubTrial." "PostConf.RESP.SubTrial." "PreCj.RESP.SubTrial." "stim1.SubTrial." "stim2.SubTrial." "Target.ACC.SubTrial." "Target.RT.SubTrial." "Procedure.SubTrial." "antwoord.SubTrial."
"60" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "8" 8 465 22 1 1850 "TrialProcStim" 447
"61" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "8" 8 663 22 1 1178 "TrialProcStim" 631
"62" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-XX" "-" "8" 3 58 16 1 856 "TrialProcStim" 32
"63" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "8" 8 663 22 1 638 "TrialProcStim" 649
"64" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "8" 9 888 574 1 1270 "TrialProcStim" 316
"65" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-XX" "-" "8" 8 35 17 1 575 "TrialProcStim" 28
"66" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XX" "-" "8" 9 132 55 1 1172 "TrialProcStim" 87
"67" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 1 59 1 1 1794 "TrialProcStim" 48
"68" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XX" "-" "3" 8 148 56 1 1788 "TrialProcStim" 82
"69" 1 20 "left" "female" 1 "Correct" "na" "XX*XX" "*" "1" 8 11 11 1 1606 "TrialProcStim" 121
"70" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XXX" "-" "3" 8 652 559 0 1439 "TrialProcStim" 93
"71" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*XX" "*" "0" 0 15 31 1 1916 "TrialProcStim" 480
"72" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-XX" "-" "8" 3 82 71 1 2033 "TrialProcStim" 19
"73" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-XX" "-" "8" 8 52 16 1 1294 "TrialProcStim" 34
"74" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "9" 8 599 63 1 699 "TrialProcStim" 553
"75" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*XX" "*" "0" 0 25 18 1 1720 "TrialProcStim" 475
"76" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*XX" "*" "0" 0 15 31 1 930 "TrialProcStim" 466
"77" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-X" "-" "1" 2 71 9 1 2491 "TrialProcStim" 52
"78" 1 20 "left" "female" 1 "Correct" "na" "XX*X" "*" "0" 0 15 7 0 2562 "TrialProcStim" 105
"79" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-XX" "-" "9" 8 39 18 1 1226 "TrialProcStim" 11
"80" 1 20 "left" "female" 1 "Correct" "na" "XX*XX" "*" "0" 0 25 18 0 1288 "TrialProcStim" 450
"81" 1 20 "left" "female" 1 "Correct" "na" "XX*XX" "*" "2" 9 12 12 1 2197 "TrialProcStim" 144
"82" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 452 369 1 2706 "TrialProcStim" 93
"83" 1 20 "left" "female" 1 "Correct" "na" "XX*X" "*" "0" 0 61 8 0 868 "TrialProcStim" 488
"84" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-X" "-" "1" 2 88 9 1 2785 "TrialProcStim" 71
"85" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-X" "-" "1" 1 38 2 1 2331 "TrialProcStim" 36
"86" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "X*XX" "*" "0" 0 8 31 0 2123 "TrialProcStim" 247
"87" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-XX" "-" "2" 2 46 12 0 1622 "TrialProcStim" 36
"88" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "3" 3 279 45 0 2663 "TrialProcStim" 236
"89" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-X" "-" "2" 2 94 8 0 2263 "TrialProcStim" 76
"90" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XX" "-" "3" 2 599 63 0 1383 "TrialProcStim" 563
"91" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-X" "-" "1" 1 42 5 1 1614 "TrialProcStim" 33
"92" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 254 188 1 969 "TrialProcStim" 64
"93" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-XX" "-" "9" 2 64 12 1 1762 "TrialProcStim" 58
"94" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*X" "*" "2" 0 16 4 1 1685 "TrialProcStim" 65
"95" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "X*XX" "*" "9" 9 7 21 1 1736 "TrialProcStim" 146
"96" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 1 38 2 1 1262 "TrialProcStim" 26
"97" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XX" "-" "9" 9 398 66 0 1108 "TrialProcStim" 332
"98" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-X" "-" "{SPACE}" 1 51 9 0 0 "TrialProcStim" 32
"99" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "X*XX" "*" "9" 9 9 24 1 1314 "TrialProcStim" 215
"100" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-XX" "-" "9" 9 91 57 1 1149 "TrialProcStim" 36
"101" 1 20 "left" "female" 1 "Correct" "Brug" "XX-X" "-" "2" 2 45 9 1 2218 "TrialProcStim" 36
"102" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XXX" "-" "9" 9 537 444 1 616 "TrialProcStim" 97
"103" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "9" 9 989 577 1 936 "TrialProcStim" 422
"104" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XX" "-" "9" 9 123 66 1 839 "TrialProcStim" 53
"105" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "8" 8 576 225 1 1406 "TrialProcStim" 341
"106" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-XX" "-" "8" 8 75 26 1 1646 "TrialProcStim" 41
"107" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 8 882 795 1 513 "TrialProcStim" 77
"108" 1 20 "left" "female" 1 "Correct" "na" "X*XX" "*" "0" 0 3 46 0 1687 "TrialProcStim" 138
"109" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XXX" "-" "9" 8 537 444 1 839 "TrialProcStim" 83
"110" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XX" "-" "0" 9 888 62 0 342 "TrialProcStim" 826
"111" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-XX" "-" "3" 2 32 15 0 1170 "TrialProcStim" 13
"112" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XXX" "-" "3" 8 784 431 1 2663 "TrialProcStim" 353
"113" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XX" "-" "8" 8 132 55 0 1901 "TrialProcStim" 77
"114" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-X" "-" "8" 8 45 9 1 705 "TrialProcStim" 34
"115" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "8" 8 963 52 1 488 "TrialProcStim" 921
"116" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "X*XX" "*" "9" 0 5 29 1 1009 "TrialProcStim" 146
"117" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-X" "-" "1" 1 45 4 1 1112 "TrialProcStim" 41
"118" 1 20 "left" "female" 1 "Correct" "na" "XX*XX" "*" "2" 2 14 14 0 1632 "TrialProcStim" 196
"119" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "9" 8 989 577 1 848 "TrialProcStim" 418
"120" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XXX" "-" "8" 8 254 188 0 395 "TrialProcStim" 66
"121" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "8" 8 784 431 1 359 "TrialProcStim" 357
"122" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "X*XX" "*" "9" 0 6 16 1 1884 "TrialProcStim" 97
"123" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XXX" "-" "9" 9 888 574 0 1016 "TrialProcStim" 314
"124" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-XX" "-" "8" 8 72 51 0 1973 "TrialProcStim" 11
"125" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*XX" "*" "0" 0 50 21 1 543 "TrialProcStim" 1000
"126" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XXX" "-" "9" 9 989 577 0 1769 "TrialProcStim" 412
"127" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "9" 9 339 111 1 369 "TrialProcStim" 218
"128" 1 20 "left" "female" 1 "Correct" "na" "XX*X" "*" "1" 1 10 9 1 905 "TrialProcStim" 90
"129" 1 20 "left" "female" 1 "Correct" "Brug" "XX-X" "-" "1" 2 66 7 1 1152 "TrialProcStim" 59
"130" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "0" 9 888 574 1 2239 "TrialProcStim" 304
"131" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-X" "-" "1" 1 67 3 1 823 "TrialProcStim" 64
"132" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 2 58 6 1 1413 "TrialProcStim" 51
"133" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 1 99 8 1 1601 "TrialProcStim" 92
"134" 1 20 "left" "female" 1 "Correct" "Brug" "XX-XX" "-" "8" 9 66 29 0 1319 "TrialProcStim" 37
"135" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-XX" "-" "8" 9 72 51 0 1665 "TrialProcStim" 21
"136" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XX" "-" "8" 9 105 22 0 1687 "TrialProcStim" 93
"137" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XX" "-" "8" 9 123 66 0 1386 "TrialProcStim" 57
"138" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*XX" "*" "0" 0 25 11 1 804 "TrialProcStim" 250
"139" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "8" 9 576 225 1 530 "TrialProcStim" 359
"140" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-XX" "-" "8" 9 46 27 1 451 "TrialProcStim" 29
"141" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XX" "-" "8" 9 119 52 0 750 "TrialProcStim" 63
"142" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*XX" "*" "8" 0 25 18 1 1265 "TrialProcStim" 451
"143" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 652 559 1 464 "TrialProcStim" 83
"144" 1 20 "left" "female" 1 "Correct" "na" "XX*X" "*" "3" 2 55 3 0 1480 "TrialProcStim" 165
"145" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 263 177 1 1376 "TrialProcStim" 96
"146" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-X" "-" "1" 2 51 9 1 1802 "TrialProcStim" 48
"147" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 1 85 2 1 2231 "TrialProcStim" 82
"148" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-XX" "-" "8" 0 46 27 1 646 "TrialProcStim" 11
"149" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XX" "-" "8" 9 156 63 0 332 "TrialProcStim" 93
"150" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 326 253 1 675 "TrialProcStim" 83
"151" 1 20 "left" "female" 1 "Incorrect_Related" "na" "X*XX" "*" "8" 0 2 98 1 705 "TrialProcStim" 198
"152" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-X" "-" "8" 2 94 8 1 1711 "TrialProcStim" 84
"153" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-XX" "-" "9" 0 58 16 0 431 "TrialProcStim" 42
"154" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-X" "-" "1" 1 59 1 1 1651 "TrialProcStim" 58
"155" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-XX" "-" "8" 9 82 71 0 1035 "TrialProcStim" 11
"156" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XXX" "-" "9" 9 326 253 0 820 "TrialProcStim" 73
"157" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XXX" "-" "9" 9 882 795 1 665 "TrialProcStim" 83
"158" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-XX" "-" "3" 2 64 12 0 1350 "TrialProcStim" 42
"159" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*X" "*" "2" 9 16 4 1 1412 "TrialProcStim" 80
"160" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*X" "*" "3" 9 87 2 1 2117 "TrialProcStim" 261
"161" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-XX" "-" "8" 9 82 71 1 2202 "TrialProcStim" 21
"162" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "9" 9 495 244 1 516 "TrialProcStim" 261
"163" 1 20 "left" "female" 1 "Correct" "Brug" "XX-XX" "-" "9" 9 75 26 0 862 "TrialProcStim" 49
"164" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*X" "*" "1" 1 10 9 1 1740 "TrialProcStim" 80
"165" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-XX" "-" "9" 1 46 12 1 712 "TrialProcStim" 24
"166" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-X" "-" "1" 2 77 5 1 2032 "TrialProcStim" 72
"167" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "X*XX" "*" "8" 0 3 46 1 1331 "TrialProcStim" 139
"168" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XX" "-" "8" 9 963 52 0 2897 "TrialProcStim" 911
"169" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 326 253 1 1182 "TrialProcStim" 77
"170" 1 20 "left" "female" 1 "Correct" "Brug" "XX-X" "-" "2" 2 42 5 1 1361 "TrialProcStim" 37
"171" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 1 38 2 1 1643 "TrialProcStim" 34
"172" 1 20 "left" "female" 1 "Correct" "na" "XX*X" "*" "9" 0 87 2 0 993 "TrialProcStim" 174
"173" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 254 188 0 1055 "TrialProcStim" 76
"174" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*X" "*" "1" 1 10 9 1 1753 "TrialProcStim" 89
"175" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XXX" "-" "9" 9 677 160 0 389 "TrialProcStim" 517
"176" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-XX" "-" "9" 8 98 64 0 1012 "TrialProcStim" 34
"177" 1 20 "left" "female" 1 "Correct" "na" "XX*X" "*" "8" 9 16 4 0 1383 "TrialProcStim" 64
"178" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*X" "*" "8" 0 75 6 1 545 "TrialProcStim" 525
"179" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XX" "-" "8" 9 169 85 1 383 "TrialProcStim" 94
"180" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-XX" "-" "8" 9 72 51 1 276 "TrialProcStim" 29
"181" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XX" "-" "8" 9 105 22 0 1335 "TrialProcStim" 83
"182" 1 20 "left" "female" 1 "Correct" "na" "X*XX" "*" "8" 0 2 98 1 474 "TrialProcStim" 196
"183" 1 20 "left" "female" 1 "Incorrect_Related" "na" "X*XX" "*" "8" 0 7 21 1 629 "TrialProcStim" 140
"184" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 1 85 2 1 1320 "TrialProcStim" 73
"185" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XXX" "-" "8" 9 882 795 0 612 "TrialProcStim" 87
"186" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XX" "-" "8" 9 172 99 0 920 "TrialProcStim" 83
"187" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XX" "-" "8" 9 663 22 1 277 "TrialProcStim" 641
"188" 1 20 "left" "female" 1 "Correct" "na" "X*XX" "*" "8" 0 5 29 0 364 "TrialProcStim" 145
"189" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*XX" "*" "2" 2 11 11 1 1293 "TrialProcStim" 132
"190" 1 20 "left" "female" 1 "Correct" "na" "XX*XX" "*" "8" 0 50 21 1 2328 "TrialProcStim" 1050
"191" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XX" "-" "8" 9 169 85 1 375 "TrialProcStim" 86
"192" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XX" "-" "8" 9 105 22 1 745 "TrialProcStim" 87
"193" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-X" "-" "1" 2 42 5 1 1330 "TrialProcStim" 27
"194" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XX" "-" "9" 9 279 45 0 575 "TrialProcStim" 234
"195" 1 20 "left" "female" 1 "Correct" "Brug" "XX-XX" "-" "9" 9 32 15 0 331 "TrialProcStim" 17
"196" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "8" 9 479 105 1 462 "TrialProcStim" 376
"197" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XX" "-" "8" 9 169 85 0 411 "TrialProcStim" 84
"198" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "8" 9 599 63 1 302 "TrialProcStim" 567
"199" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 263 177 1 338 "TrialProcStim" 84
"200" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XXX" "-" "8" 9 576 225 0 259 "TrialProcStim" 351
"201" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "8" 9 888 62 1 220 "TrialProcStim" 824
"202" 1 20 "left" "female" 1 "Correct" "Brug" "XX-X" "-" "2" 2 94 8 1 1712 "TrialProcStim" 86
"203" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-X" "-" "1" 1 85 2 1 1039 "TrialProcStim" 83
"204" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-XX" "-" "3" 9 66 29 0 783 "TrialProcStim" 33
"205" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*XX" "*" "2" 2 12 12 1 1745 "TrialProcStim" 132
"206" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "8" 9 774 53 1 736 "TrialProcStim" 711
"207" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XX-XX" "-" "9" 9 81 37 1 434 "TrialProcStim" 46
"208" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XXX" "-" "8" 9 788 699 0 288 "TrialProcStim" 89
"209" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-XX" "-" "8" 9 91 57 0 324 "TrialProcStim" 24
"210" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XX" "-" "3" 9 156 63 0 652 "TrialProcStim" 97
"211" 1 20 "left" "female" 1 "Correct" "Brug" "XX-X" "-" "2" 2 31 9 1 1274 "TrialProcStim" 22
"212" 1 20 "left" "female" 1 "Correct" "na" "XX*X" "*" "3" 9 24 5 0 1175 "TrialProcStim" 120
"213" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "3" 9 465 22 1 782 "TrialProcStim" 453
"214" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*X" "*" "9" 0 87 2 1 729 "TrialProcStim" 175
"215" 1 20 "left" "female" 1 "Correct" "Brug" "XX-X" "-" "3" 1 88 9 1 1898 "TrialProcStim" 79
"216" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XXX" "-" "8" 9 452 369 0 562 "TrialProcStim" 83
"217" 1 20 "left" "female" 1 "Correct" "na" "XX*XX" "*" "9" 0 25 11 0 316 "TrialProcStim" 275
"218" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XX" "-" "8" 9 119 52 0 478 "TrialProcStim" 67
"219" 1 20 "left" "female" 1 "Incorrect_Related" "na" "X*XX" "*" "8" 0 4 56 1 1518 "TrialProcStim" 220
"220" 1 20 "left" "female" 1 "Correct" "na" "X*XX" "*" "8" 9 9 24 0 1063 "TrialProcStim" 216
"221" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-X" "-" "1" 2 66 7 1 1686 "TrialProcStim" 49
"222" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XXX-XXX" "-" "8" 9 788 699 1 826 "TrialProcStim" 79
"223" 1 20 "left" "female" 1 "Correct" "na" "X*XX" "*" "8" 0 4 56 1 614 "TrialProcStim" 224
"224" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-XX" "-" "8" 9 64 12 0 321 "TrialProcStim" 52
"225" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*XX" "*" "1" 2 11 11 1 1161 "TrialProcStim" 122
"226" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "X*XX" "*" "8" 9 4 56 1 1981 "TrialProcStim" 223
