,participant,trial,A_feature1,A_feature2,A_feature3,A_feature4,B_feature1,B_feature2,B_feature3,B_feature4,decisions
237,2,45,0,1,1,0,1,0,0,0,0
238,2,46,0,0,0,0,1,0,1,1,1
239,2,47,1,1,0,0,0,0,0,0,0
240,2,48,1,0,1,0,0,0,1,1,0
241,2,49,1,1,0,0,0,0,0,0,0
242,2,50,0,0,0,1,1,0,0,0,1
243,2,51,0,1,1,1,1,0,0,1,0
244,2,52,0,1,1,1,1,1,1,0,1
245,2,53,1,1,1,0,0,0,1,0,0
246,2,54,0,0,0,1,1,0,0,0,1
247,2,55,1,0,0,0,0,1,1,0,1
248,2,56,1,0,0,1,0,1,1,1,1
249,2,57,1,0,0,1,0,1,1,1,1
250,2,58,1,1,1,1,0,1,0,0,0
251,2,59,0,1,1,0,1,0,0,0,0
252,2,60,1,1,1,1,0,1,0,0,0
253,2,61,0,1,1,1,1,0,0,1,0
254,2,62,1,1,0,1,0,0,0,1,0
255,2,63,0,1,1,0,1,0,0,0,0
256,2,64,0,1,1,0,1,0,0,0,0
257,2,65,1,0,0,1,0,1,1,1,1
258,2,66,1,1,0,0,0,1,0,1,0
259,2,67,1,0,1,0,0,0,1,1,0
260,2,68,0,1,1,1,1,0,0,1,0
261,2,69,1,0,0,0,0,0,0,1,0
262,2,70,0,0,0,1,1,0,0,0,1
263,2,71,1,0,1,0,0,0,1,1,0
264,2,72,1,1,1,0,0,1,1,1,0
265,2,73,1,0,0,0,0,1,1,0,1
266,2,74,1,1,1,0,0,1,1,1,0
267,2,75,1,1,1,0,0,0,1,0,0
268,2,76,1,0,1,1,0,0,0,0,0
269,2,77,0,1,1,0,1,0,0,0,0
270,2,78,1,0,0,1,0,1,1,1,1
271,2,79,0,1,0,0,1,1,1,1,1
272,2,80,1,0,0,0,0,1,1,0,1
273,2,81,1,1,0,0,0,1,0,1,0
274,2,82,0,0,0,0,1,1,0,0,1
275,2,83,1,0,0,0,0,0,0,1,0
276,2,84,0,0,1,1,1,1,1,1,1
277,2,85,0,1,1,1,1,0,0,1,0
278,2,86,1,1,0,1,0,0,0,1,0
279,2,87,0,1,1,0,1,0,0,0,0
280,2,88,1,0,0,0,0,1,1,0,1
281,2,89,1,1,0,0,0,1,0,1,0
282,2,90,0,0,0,1,1,1,0,1,1
283,2,91,0,0,1,1,1,1,1,1,1
284,2,92,1,1,1,1,0,0,1,1,0
285,2,93,0,0,1,0,1,1,1,0,1
286,2,94,0,1,1,1,1,1,1,0,1
287,2,95,1,1,0,1,0,0,0,1,0
288,3,0,0,0,1,1,1,0,1,0,0
289,3,1,1,1,1,0,0,0,1,0,0
290,3,2,0,1,0,0,1,1,1,1,1
291,3,3,1,0,1,0,0,0,1,1,0
292,3,4,0,1,1,1,1,1,1,0,0
293,3,5,0,0,0,0,1,1,0,0,1
294,3,6,1,1,0,1,0,0,0,1,0
295,3,7,1,0,0,0,0,1,1,0,1
296,3,8,0,1,0,0,1,1,1,1,1
297,3,9,1,1,1,0,0,1,1,1,0
298,3,10,0,1,1,0,1,0,0,0,0
299,3,11,0,1,1,1,1,1,1,0,1
300,3,12,1,1,1,0,0,1,1,1,0
301,3,13,1,0,0,0,0,0,0,1,0
302,3,14,1,1,1,0,0,1,1,1,0
303,3,15,1,0,0,1,0,1,1,1,1
304,3,16,0,0,0,1,1,0,0,0,1
305,3,17,1,0,0,1,0,1,1,1,0
306,3,18,1,1,1,1,0,1,0,0,0
307,3,19,1,1,0,0,0,1,0,1,1
308,3,20,0,0,0,1,1,1,0,1,1
309,3,21,1,0,1,1,0,0,0,0,0
310,3,22,0,1,1,0,1,0,0,0,0
311,3,23,0,1,1,1,1,0,0,1,1
312,3,24,1,0,0,0,0,1,1,0,0
313,3,25,0,1,1,0,1,0,0,0,0
314,3,26,0,1,1,1,1,0,0,1,1
315,3,27,1,1,0,0,0,1,0,1,0
316,3,28,0,1,0,1,1,1,0,0,1
317,3,29,1,1,0,0,0,0,0,0,0
318,3,30,0,0,1,1,1,1,1,1,1
319,3,31,0,0,0,0,1,1,0,0,1
320,3,32,1,0,0,1,0,1,1,1,1
321,3,33,1,0,0,0,0,1,1,0,0
322,3,34,0,1,1,1,1,1,1,0,1
323,3,35,1,0,0,0,0,0,0,1,0
324,3,36,1,0,0,0,0,1,1,0,0
325,3,37,0,0,0,0,1,0,1,1,1
326,3,38,1,1,1,0,0,0,1,0,0
327,3,39,0,0,0,1,1,0,0,0,1
328,3,40,1,1,1,0,0,0,1,0,0
329,3,41,1,1,0,0,0,1,0,1,0
330,3,42,0,0,0,0,1,1,0,0,1
331,3,43,0,1,0,1,1,1,0,0,1
332,3,44,0,1,1,1,1,0,0,1,0
333,3,45,1,0,0,0,0,0,0,1,0
334,3,46,1,0,1,0,0,0,1,1,0
335,3,47,1,0,1,0,0,0,1,1,0
336,3,48,1,0,0,1,0,1,1,1,1
337,3,49,0,1,1,0,1,0,0,0,0
338,3,50,1,1,1,0,0,1,1,1,0
339,3,51,0,1,1,0,1,0,0,0,0
340,3,52,1,1,1,1,0,0,1,1,0
341,3,53,0,0,1,1,1,0,1,0,1
342,3,54,1,0,1,1,0,0,0,0,0
343,3,55,0,0,1,1,1,1,1,1,1
344,3,56,0,0,1,0,1,1,1,0,1
345,3,57,1,0,0,0,0,1,1,0,0
346,3,58,0,0,1,0,1,1,1,0,1
347,3,59,1,0,0,1,0,1,1,1,0
348,3,60,1,0,0,0,0,1,1,0,0
349,3,61,1,0,1,0,0,0,1,1,0
350,3,62,0,0,0,1,1,0,0,0,1
351,3,63,1,1,1,1,0,0,1,1,1
352,3,64,1,1,0,1,0,0,0,1,0
353,3,65,0,1,1,0,1,0,0,0,0
354,3,66,1,0,0,0,0,1,1,0,1
355,3,67,1,0,0,0,0,1,1,0,1
356,3,68,1,1,1,1,0,1,0,0,0
357,3,69,1,1,0,0,0,1,0,1,0
358,3,70,0,0,1,1,1,0,1,0,1
359,3,71,0,1,1,0,1,0,0,0,0
360,3,72,1,0,1,1,0,0,0,0,0
361,3,73,0,1,0,1,1,1,0,0,1
362,3,74,1,0,0,0,0,0,0,1,0
363,3,75,0,0,0,1,1,1,0,1,1
364,3,76,0,1,1,1,1,0,0,1,1
365,3,77,0,1,1,1,1,0,0,1,1
366,3,78,0,1,1,0,1,0,0,0,0
367,3,79,1,1,1,1,0,1,0,0,0
368,3,80,0,1,1,1,1,1,1,0,1
369,3,81,0,0,0,1,1,0,0,0,1
370,3,82,0,1,0,1,1,1,0,0,1
371,3,83,0,1,1,1,1,0,0,1,0
372,3,84,1,0,0,1,0,1,1,1,1
373,3,85,0,0,0,0,1,0,1,1,1
374,3,86,1,0,0,1,0,1,1,1,1
375,3,87,1,1,0,0,0,0,0,0,0
376,3,88,1,1,0,1,0,0,0,1,0
377,3,89,1,0,0,1,0,1,1,1,1
378,3,90,1,1,0,0,0,0,0,0,0
379,3,91,1,1,1,1,0,0,1,1,0
380,3,92,0,0,0,0,1,0,1,1,1
381,3,93,0,1,1,1,1,0,0,1,0
382,3,94,0,0,1,1,1,0,1,0,1
383,3,95,0,1,1,1,1,0,0,1,0
384,4,0,1,0,0,0,0,1,1,0,1
385,4,1,1,0,0,1,0,1,1,1,1
386,4,2,1,1,1,1,0,1,0,0,0
387,4,3,1,0,1,1,0,0,0,0,0
388,4,4,0,0,0,1,1,1,0,1,1
389,4,5,0,1,1,1,1,0,0,1,0
390,4,6,1,1,1,1,0,0,1,1,0
391,4,7,0,0,0,1,1,1,0,1,1
392,4,8,0,0,1,1,1,0,1,0,1
393,4,9,0,1,0,0,1,1,1,1,1
394,4,10,0,0,1,1,1,0,1,0,1
395,4,11,0,1,1,1,1,1,1,0,1
396,4,12,0,1,1,1,1,0,0,1,0
397,4,13,1,0,0,1,0,1,1,1,1
398,4,14,1,1,1,0,0,1,1,1,0
399,4,15,1,0,0,1,0,1,1,1,1
400,4,16,0,1,1,0,1,0,0,0,0
401,4,17,1,0,0,0,0,1,1,0,1
402,4,18,1,0,0,0,0,0,0,1,0
403,4,19,1,1,1,0,0,0,1,0,0
404,4,20,1,1,0,1,0,0,0,1,0
405,4,21,1,1,0,0,0,1,0,1,0
406,4,22,0,0,0,1,1,0,0,0,1
407,4,23,0,0,1,0,1,1,1,0,1
408,4,24,1,0,0,0,0,1,1,0,1
409,4,25,1,0,1,1,0,0,0,0,0
410,4,26,1,1,0,0,0,0,0,0,0
411,4,27,0,1,1,1,1,0,0,1,0
412,4,28,1,0,0,0,0,1,1,0,1
413,4,29,1,1,0,0,0,1,0,1,0
414,4,30,1,1,0,0,0,1,0,1,0
415,4,31,1,1,0,1,0,0,0,1,0
416,4,32,1,0,1,0,0,0,1,1,0
417,4,33,1,1,1,0,0,0,1,0,0
418,4,34,0,1,1,1,1,0,0,1,0
419,4,35,1,0,1,0,0,0,1,1,0
420,4,36,0,0,1,1,1,1,1,1,1
421,4,37,0,1,1,1,1,0,0,1,0
422,4,38,0,1,0,1,1,1,0,0,1
423,4,39,1,0,0,1,0,1,1,1,1
424,4,40,0,0,0,0,1,0,1,1,1
425,4,41,0,1,1,0,1,0,0,0,0
426,4,42,0,0,1,1,1,0,1,0,1
427,4,43,0,1,1,1,1,1,1,0,1
428,4,44,1,1,0,0,0,1,0,1,0
429,4,45,1,1,1,0,0,0,1,0,0
430,4,46,0,1,1,1,1,0,0,1,0
431,4,47,0,0,0,0,1,0,1,1,1
432,4,48,0,1,1,1,1,1,1,0,1
433,4,49,0,0,0,0,1,1,0,0,1
434,4,50,0,1,0,0,1,1,1,1,1
435,4,51,1,1,1,0,0,1,1,1,0
436,4,52,1,0,0,0,0,0,0,1,0
437,4,53,1,1,0,0,0,0,0,0,0
438,4,54,0,1,1,0,1,0,0,0,0
439,4,55,0,0,1,1,1,1,1,1,1
440,4,56,0,1,1,0,1,0,0,0,0
441,4,57,0,0,0,0,1,1,0,0,1
442,4,58,1,1,1,0,0,1,1,1,0
443,4,59,1,0,0,1,0,1,1,1,1
444,4,60,0,0,0,1,1,0,0,0,1
445,4,61,0,0,1,1,1,0,1,0,1
446,4,62,1,1,1,1,0,1,0,0,0
447,4,63,1,0,0,0,0,0,0,1,0
448,4,64,0,0,0,1,1,0,0,0,1
449,4,65,1,1,1,1,0,0,1,1,0
450,4,66,0,0,0,0,1,1,0,0,1
451,4,67,0,0,0,1,1,0,0,0,1
452,4,68,1,0,0,1,0,1,1,1,1
453,4,69,1,1,1,0,0,1,1,1,0
454,4,70,1,0,1,0,0,0,1,1,0
455,4,71,1,0,0,0,0,1,1,0,1
456,4,72,0,1,1,1,1,1,1,0,1
457,4,73,0,1,1,0,1,0,0,0,0
458,4,74,1,0,0,0,0,1,1,0,1
459,4,75,1,0,0,0,0,1,1,0,1
460,4,76,0,1,1,1,1,0,0,1,0
461,4,77,0,0,1,0,1,1,1,0,1
462,4,78,1,0,0,0,0,0,0,1,0
463,4,79,0,1,0,1,1,1,0,0,1
464,4,80,0,1,0,1,1,1,0,0,1
465,4,81,1,1,1,1,0,1,0,0,0
466,4,82,0,0,0,0,1,0,1,1,1
467,4,83,0,1,1,0,1,0,0,0,0
468,4,84,0,1,1,0,1,0,0,0,0
469,4,85,1,0,0,1,0,1,1,1,1
470,4,86,0,1,0,1,1,1,0,0,1
471,4,87,0,1,1,0,1,0,0,0,0
472,4,88,1,1,0,1,0,0,0,1,0
473,4,89,1,0,1,1,0,0,0,0,0
474,4,90,1,0,0,1,0,1,1,1,1
475,4,91,1,0,0,0,0,1,1,0,1
476,4,92,1,0,1,0,0,0,1,1,0
477,4,93,1,1,0,0,0,0,0,0,0
478,4,94,0,1,1,1,1,0,0,1,0
479,4,95,1,1,1,1,0,0,1,1,0
480,5,0,1,0,0,1,0,1,1,1,1
481,5,1,0,0,1,1,1,1,1,1,1
482,5,2,1,0,0,0,0,1,1,0,1
483,5,3,0,0,1,1,1,0,1,0,1
484,5,4,0,1,0,0,1,1,1,1,1
485,5,5,1,1,1,1,0,0,1,1,0
486,5,6,1,1,1,0,0,1,1,1,0
487,5,7,1,0,0,0,0,0,0,1,0
488,5,8,0,0,0,1,1,0,0,0,1
489,5,9,0,1,1,1,1,1,1,0,1
490,5,10,0,0,0,1,1,0,0,0,1
491,5,11,0,0,1,0,1,1,1,0,1
492,5,12,1,0,0,1,0,1,1,1,0
493,5,13,1,0,1,0,0,0,1,1,0
494,5,14,1,0,1,1,0,0,0,0,0
495,5,15,1,0,0,0,0,1,1,0,0
496,5,16,1,1,1,1,0,0,1,1,0
497,5,17,0,0,1,0,1,1,1,0,1
498,5,18,1,0,0,1,0,1,1,1,0
499,5,19,1,0,0,0,0,0,0,1,0
500,5,20,1,1,0,1,0,0,0,1,0
501,5,21,0,1,0,1,1,1,0,0,1
502,5,22,1,1,0,0,0,1,0,1,0
503,5,23,0,0,1,1,1,0,1,0,1
504,5,24,1,0,1,0,0,0,1,1,0
505,5,25,1,0,0,0,0,1,1,0,1
506,5,26,0,0,0,0,1,1,0,0,1
507,5,27,1,1,0,0,0,0,0,0,0
508,5,28,0,1,1,0,1,0,0,0,1
509,5,29,0,1,1,0,1,0,0,0,1
510,5,30,0,1,1,0,1,0,0,0,1
511,5,31,1,1,0,0,0,0,0,0,0
512,5,32,1,1,1,0,0,0,1,0,0
513,5,33,0,0,0,1,1,1,0,1,1
514,5,34,0,1,1,1,1,0,0,1,1
515,5,35,1,0,0,0,0,1,1,0,0
516,5,36,1,1,0,0,0,1,0,1,0
517,5,37,0,1,1,1,1,0,0,1,1
518,5,38,0,1,1,0,1,0,0,0,0
519,5,39,1,1,1,1,0,1,0,0,0
520,5,40,1,0,0,1,0,1,1,1,1
521,5,41,0,1,1,0,1,0,0,0,0
522,5,42,0,1,0,1,1,1,0,0,1
523,5,43,0,0,0,0,1,0,1,1,1
524,5,44,1,1,0,0,0,1,0,1,0
525,5,45,0,0,1,1,1,0,1,0,1
526,5,46,1,0,0,1,0,1,1,1,0
527,5,47,1,0,1,0,0,0,1,1,0
528,5,48,0,0,0,1,1,0,0,0,1
529,5,49,0,1,1,1,1,1,1,0,1
530,5,50,1,1,1,0,0,0,1,0,0
531,5,51,0,1,1,1,1,0,0,1,1
532,5,52,1,0,1,0,0,0,1,1,0
533,5,53,0,0,0,0,1,0,1,1,1
534,5,54,1,1,1,0,0,1,1,1,0
535,5,55,0,0,0,0,1,1,0,0,1
536,5,56,1,1,1,1,0,1,0,0,0
537,5,57,1,1,1,0,0,1,1,1,0
538,5,58,0,1,1,1,1,0,0,1,1
539,5,59,1,0,0,0,0,1,1,0,0
540,5,60,1,0,1,1,0,0,0,0,0
541,5,61,1,0,0,0,0,0,0,1,0
542,5,62,0,1,1,1,1,1,1,0,1
543,5,63,1,1,0,0,0,1,0,1,0
544,5,64,1,0,1,1,0,0,0,0,0
545,5,65,1,1,1,1,0,0,1,1,0
546,5,66,1,0,0,1,0,1,1,1,1
547,5,67,1,1,0,0,0,0,0,0,0
548,5,68,0,1,1,1,1,0,0,1,1
549,5,69,0,1,0,0,1,1,1,1,1
550,5,70,0,1,0,1,1,1,0,0,1
551,5,71,0,0,0,0,1,0,1,1,1
552,5,72,1,0,0,1,0,1,1,1,0
553,5,73,0,1,1,1,1,0,0,1,1
554,5,74,1,1,1,1,0,1,0,0,0
555,5,75,1,1,1,0,0,0,1,0,0
556,5,76,0,1,1,1,1,0,0,1,1
557,5,77,1,1,0,1,0,0,0,1,0
558,5,78,0,1,1,1,1,1,1,0,1
559,5,79,0,0,1,1,1,1,1,1,1
560,5,80,0,1,1,0,1,0,0,0,1
561,5,81,1,0,0,0,0,1,1,0,0
562,5,82,1,0,0,0,0,0,0,1,0
563,5,83,0,1,1,0,1,0,0,0,1
564,5,84,0,0,0,1,1,1,0,1,1
565,5,85,1,1,0,1,0,0,0,1,0
566,5,86,0,1,1,1,1,0,0,1,1
567,5,87,0,0,0,1,1,0,0,0,1
568,5,88,0,1,1,0,1,0,0,0,1
569,5,89,0,0,0,0,1,1,0,0,1
570,5,90,1,0,0,0,0,1,1,0,0
571,5,91,1,0,0,1,0,1,1,1,1
572,5,92,1,1,1,0,0,1,1,1,0
573,5,93,0,0,1,1,1,0,1,0,1
574,5,94,1,0,0,0,0,1,1,0,0
575,5,95,0,1,0,1,1,1,0,0,1
576,6,0,0,1,1,1,1,1,1,0,0
577,6,1,1,1,1,0,0,1,1,1,0
